Topic to send: test-topic
Topic to acks: 0
Records: 80000
Size:1000
10265 records sent, 2015,9 records/sec (1,92 MB/sec), 0,5 ms avg latency, 248,0 ms max latency.
13404 records sent, 2627,2 records/sec (2,51 MB/sec), 0,4 ms avg latency, 215,0 ms max latency.
10483 records sent, 2025,7 records/sec (1,93 MB/sec), 0,5 ms avg latency, 621,0 ms max latency.
7492 records sent, 1468,2 records/sec (1,40 MB/sec), 0,7 ms avg latency, 632,0 ms max latency.
8954 records sent, 1790,8 records/sec (1,71 MB/sec), 0,6 ms avg latency, 213,0 ms max latency.
9035 records sent, 1786,6 records/sec (1,70 MB/sec), 0,6 ms avg latency, 685,0 ms max latency.
11225 records sent, 2245,0 records/sec (2,14 MB/sec), 0,4 ms avg latency, 217,0 ms max latency.
80000 records sent, 1986,639847 records/sec (1,89 MB/sec), 0,49 ms avg latency, 706,00 ms max latency, 0 ms 50th, 1 ms 95th, 1 ms 99th, 195 ms 99.9th.

Metric Name                                                                          Value
app-info:commit-id:{client-id=producer-1}                                          : d4284cbebb6f0a4c
app-info:start-time-ms:{client-id=producer-1}                                      : 1592575041916
app-info:version:{client-id=producer-1}                                            : 2.3.1
kafka-metrics-count:count:{client-id=producer-1}                                   : 126,000
producer-metrics:batch-size-avg:{client-id=producer-1}                             : 1074,861
producer-metrics:batch-size-max:{client-id=producer-1}                             : 1075,000
producer-metrics:batch-split-rate:{client-id=producer-1}                           : 0,000
producer-metrics:batch-split-total:{client-id=producer-1}                          : 0,000
producer-metrics:buffer-available-bytes:{client-id=producer-1}                     : 33554432,000
producer-metrics:buffer-exhausted-rate:{client-id=producer-1}                      : 0,000
producer-metrics:buffer-exhausted-total:{client-id=producer-1}                     : 0,000
producer-metrics:buffer-total-bytes:{client-id=producer-1}                         : 33554432,000
producer-metrics:bufferpool-wait-ratio:{client-id=producer-1}                      : 0,000
producer-metrics:bufferpool-wait-time-total:{client-id=producer-1}                 : 0,000
producer-metrics:compression-rate-avg:{client-id=producer-1}                       : 1,000
producer-metrics:connection-close-rate:{client-id=producer-1}                      : 0,058
producer-metrics:connection-close-total:{client-id=producer-1}                     : 3,000
producer-metrics:connection-count:{client-id=producer-1}                           : 4,000
producer-metrics:connection-creation-rate:{client-id=producer-1}                   : 0,173
producer-metrics:connection-creation-total:{client-id=producer-1}                  : 7,000
producer-metrics:failed-authentication-rate:{client-id=producer-1}                 : 0,000
producer-metrics:failed-authentication-total:{client-id=producer-1}                : 0,000
producer-metrics:failed-reauthentication-rate:{client-id=producer-1}               : 0,000
producer-metrics:failed-reauthentication-total:{client-id=producer-1}              : 0,000
producer-metrics:incoming-byte-rate:{client-id=producer-1}                         : 79,715
producer-metrics:incoming-byte-total:{client-id=producer-1}                        : 3198,000
producer-metrics:io-ratio:{client-id=producer-1}                                   : 0,034
producer-metrics:io-time-ns-avg:{client-id=producer-1}                             : 8684,938
producer-metrics:io-wait-ratio:{client-id=producer-1}                              : 0,858
producer-metrics:io-wait-time-ns-avg:{client-id=producer-1}                        : 220144,097
producer-metrics:io-waittime-total:{client-id=producer-1}                          : 34636371530,000
producer-metrics:iotime-total:{client-id=producer-1}                               : 1366444791,000
producer-metrics:metadata-age:{client-id=producer-1}                               : 1,651
producer-metrics:network-io-rate:{client-id=producer-1}                            : 1994,517
producer-metrics:network-io-total:{client-id=producer-1}                           : 80022,000
producer-metrics:outgoing-byte-rate:{client-id=producer-1}                         : 2283052,821
producer-metrics:outgoing-byte-total:{client-id=producer-1}                        : 91589230,000
producer-metrics:produce-throttle-time-avg:{client-id=producer-1}                  : 0,000
producer-metrics:produce-throttle-time-max:{client-id=producer-1}                  : 0,000
producer-metrics:reauthentication-latency-avg:{client-id=producer-1}               : NaN
producer-metrics:reauthentication-latency-max:{client-id=producer-1}               : NaN
producer-metrics:record-error-rate:{client-id=producer-1}                          : 0,000
producer-metrics:record-error-total:{client-id=producer-1}                         : 0,000
producer-metrics:record-queue-time-avg:{client-id=producer-1}                      : 0,041
producer-metrics:record-queue-time-max:{client-id=producer-1}                      : 706,000
producer-metrics:record-retry-rate:{client-id=producer-1}                          : 0,058
producer-metrics:record-retry-total:{client-id=producer-1}                         : 3,000
producer-metrics:record-send-rate:{client-id=producer-1}                           : 1997,279
producer-metrics:record-send-total:{client-id=producer-1}                          : 80003,000
producer-metrics:record-size-avg:{client-id=producer-1}                            : 1090,861
producer-metrics:record-size-max:{client-id=producer-1}                            : 1091,000
producer-metrics:records-per-request-avg:{client-id=producer-1}                    : 1,000
producer-metrics:request-latency-avg:{client-id=producer-1}                        : NaN
producer-metrics:request-latency-max:{client-id=producer-1}                        : NaN
producer-metrics:request-rate:{client-id=producer-1}                               : 1994,292
producer-metrics:request-size-avg:{client-id=producer-1}                           : 1144,708
