Topic to send: test-topic
Topic to acks: 0
Records: 80000
Size:1000
3919 records sent, 783,8 records/sec (0,75 MB/sec), 1,2 ms avg latency, 555,0 ms max latency.
4709 records sent, 941,8 records/sec (0,90 MB/sec), 1,0 ms avg latency, 253,0 ms max latency.
4877 records sent, 913,6 records/sec (0,87 MB/sec), 1,1 ms avg latency, 626,0 ms max latency.
5539 records sent, 880,3 records/sec (0,84 MB/sec), 1,1 ms avg latency, 1506,0 ms max latency.
6214 records sent, 1204,7 records/sec (1,15 MB/sec), 0,8 ms avg latency, 231,0 ms max latency.
4872 records sent, 940,2 records/sec (0,90 MB/sec), 1,1 ms avg latency, 664,0 ms max latency.
3995 records sent, 787,8 records/sec (0,75 MB/sec), 1,3 ms avg latency, 690,0 ms max latency.
4444 records sent, 866,3 records/sec (0,83 MB/sec), 1,1 ms avg latency, 681,0 ms max latency.
3285 records sent, 641,9 records/sec (0,61 MB/sec), 1,5 ms avg latency, 863,0 ms max latency.
5943 records sent, 1168,3 records/sec (1,11 MB/sec), 0,8 ms avg latency, 209,0 ms max latency.
4333 records sent, 853,0 records/sec (0,81 MB/sec), 1,2 ms avg latency, 624,0 ms max latency.
5848 records sent, 1166,3 records/sec (1,11 MB/sec), 0,8 ms avg latency, 488,0 ms max latency.
3818 records sent, 747,6 records/sec (0,71 MB/sec), 1,3 ms avg latency, 414,0 ms max latency.
2582 records sent, 497,0 records/sec (0,47 MB/sec), 2,0 ms avg latency, 667,0 ms max latency.
3228 records sent, 638,1 records/sec (0,61 MB/sec), 1,6 ms avg latency, 1292,0 ms max latency.
3686 records sent, 636,1 records/sec (0,61 MB/sec), 1,6 ms avg latency, 1497,0 ms max latency.
4963 records sent, 973,5 records/sec (0,93 MB/sec), 1,0 ms avg latency, 906,0 ms max latency.
80000 records sent, 872,077179 records/sec (0,83 MB/sec), 1,13 ms avg latency, 1506,00 ms max latency, 0 ms 50th, 1 ms 95th, 1 ms 99th, 207 ms 99.9th.

Metric Name                                                                          Value
app-info:commit-id:{client-id=producer-1}                                          : d4284cbebb6f0a4c
app-info:start-time-ms:{client-id=producer-1}                                      : 1592783301547
app-info:version:{client-id=producer-1}                                            : 2.3.1
kafka-metrics-count:count:{client-id=producer-1}                                   : 126,000
producer-metrics:batch-size-avg:{client-id=producer-1}                             : 1075,000
producer-metrics:batch-size-max:{client-id=producer-1}                             : 1075,000
producer-metrics:batch-split-rate:{client-id=producer-1}                           : 0,000
producer-metrics:batch-split-total:{client-id=producer-1}                          : 0,000
producer-metrics:buffer-available-bytes:{client-id=producer-1}                     : 33554432,000
producer-metrics:buffer-exhausted-rate:{client-id=producer-1}                      : 0,000
producer-metrics:buffer-exhausted-total:{client-id=producer-1}                     : 0,000
producer-metrics:buffer-total-bytes:{client-id=producer-1}                         : 33554432,000
producer-metrics:bufferpool-wait-ratio:{client-id=producer-1}                      : 0,000
producer-metrics:bufferpool-wait-time-total:{client-id=producer-1}                 : 0,000
producer-metrics:compression-rate-avg:{client-id=producer-1}                       : 1,000
producer-metrics:connection-close-rate:{client-id=producer-1}                      : 0,354
producer-metrics:connection-close-total:{client-id=producer-1}                     : 24,000
producer-metrics:connection-count:{client-id=producer-1}                           : 4,000
producer-metrics:connection-creation-rate:{client-id=producer-1}                   : 0,202
producer-metrics:connection-creation-total:{client-id=producer-1}                  : 28,000
producer-metrics:failed-authentication-rate:{client-id=producer-1}                 : 0,000
producer-metrics:failed-authentication-total:{client-id=producer-1}                : 0,000
producer-metrics:failed-reauthentication-rate:{client-id=producer-1}               : 0,000
producer-metrics:failed-reauthentication-total:{client-id=producer-1}              : 0,000
producer-metrics:incoming-byte-rate:{client-id=producer-1}                         : 111,738
producer-metrics:incoming-byte-total:{client-id=producer-1}                        : 15072,000
producer-metrics:io-ratio:{client-id=producer-1}                                   : 0,012
producer-metrics:io-time-ns-avg:{client-id=producer-1}                             : 7277,439
producer-metrics:io-wait-ratio:{client-id=producer-1}                              : 0,955
