Topic to send: test-topic
Topic to acks: 1
Records: 80000
Size:1000
132 records sent, 24,5 records/sec (0,02 MB/sec), 40,7 ms avg latency, 1536,0 ms max latency.
340 records sent, 61,1 records/sec (0,06 MB/sec), 16,3 ms avg latency, 635,0 ms max latency.
356 records sent, 70,2 records/sec (0,07 MB/sec), 14,2 ms avg latency, 210,0 ms max latency.
359 records sent, 71,2 records/sec (0,07 MB/sec), 14,0 ms avg latency, 210,0 ms max latency.
401 records sent, 79,3 records/sec (0,08 MB/sec), 12,6 ms avg latency, 210,0 ms max latency.
444 records sent, 83,2 records/sec (0,08 MB/sec), 12,0 ms avg latency, 626,0 ms max latency.
287 records sent, 56,1 records/sec (0,05 MB/sec), 17,8 ms avg latency, 619,0 ms max latency.
399 records sent, 79,1 records/sec (0,08 MB/sec), 12,6 ms avg latency, 640,0 ms max latency.
285 records sent, 54,9 records/sec (0,05 MB/sec), 18,2 ms avg latency, 1529,0 ms max latency.
315 records sent, 61,2 records/sec (0,06 MB/sec), 16,3 ms avg latency, 639,0 ms max latency.
353 records sent, 67,9 records/sec (0,06 MB/sec), 14,7 ms avg latency, 647,0 ms max latency.
444 records sent, 87,4 records/sec (0,08 MB/sec), 11,4 ms avg latency, 636,0 ms max latency.
366 records sent, 70,5 records/sec (0,07 MB/sec), 14,2 ms avg latency, 637,0 ms max latency.
277 records sent, 52,2 records/sec (0,05 MB/sec), 19,1 ms avg latency, 648,0 ms max latency.
353 records sent, 68,7 records/sec (0,07 MB/sec), 14,5 ms avg latency, 209,0 ms max latency.
260 records sent, 50,6 records/sec (0,05 MB/sec), 19,8 ms avg latency, 1515,0 ms max latency.
202 records sent, 40,2 records/sec (0,04 MB/sec), 24,9 ms avg latency, 642,0 ms max latency.
337 records sent, 65,6 records/sec (0,06 MB/sec), 15,2 ms avg latency, 642,0 ms max latency.
281 records sent, 55,4 records/sec (0,05 MB/sec), 18,0 ms avg latency, 642,0 ms max latency.
350 records sent, 67,6 records/sec (0,06 MB/sec), 14,8 ms avg latency, 648,0 ms max latency.
478 records sent, 94,5 records/sec (0,09 MB/sec), 10,6 ms avg latency, 209,0 ms max latency.
335 records sent, 62,7 records/sec (0,06 MB/sec), 15,9 ms avg latency, 645,0 ms max latency.
402 records sent, 73,9 records/sec (0,07 MB/sec), 13,5 ms avg latency, 648,0 ms max latency.
285 records sent, 55,7 records/sec (0,05 MB/sec), 18,0 ms avg latency, 1505,0 ms max latency.
445 records sent, 88,9 records/sec (0,08 MB/sec), 11,2 ms avg latency, 209,0 ms max latency.
250 records sent, 50,0 records/sec (0,05 MB/sec), 20,0 ms avg latency, 631,0 ms max latency.
328 records sent, 64,4 records/sec (0,06 MB/sec), 15,5 ms avg latency, 624,0 ms max latency.
318 records sent, 61,8 records/sec (0,06 MB/sec), 16,2 ms avg latency, 1514,0 ms max latency.
282 records sent, 55,6 records/sec (0,05 MB/sec), 18,0 ms avg latency, 645,0 ms max latency.
399 records sent, 77,3 records/sec (0,07 MB/sec), 12,9 ms avg latency, 209,0 ms max latency.
205 records sent, 41,0 records/sec (0,04 MB/sec), 24,4 ms avg latency, 637,0 ms max latency.
331 records sent, 64,9 records/sec (0,06 MB/sec), 15,4 ms avg latency, 620,0 ms max latency.
243 records sent, 48,6 records/sec (0,05 MB/sec), 20,6 ms avg latency, 629,0 ms max latency.
350 records sent, 68,7 records/sec (0,07 MB/sec), 14,6 ms avg latency, 620,0 ms max latency.
266 records sent, 51,8 records/sec (0,05 MB/sec), 19,3 ms avg latency, 1513,0 ms max latency.
333 records sent, 65,3 records/sec (0,06 MB/sec), 15,3 ms avg latency, 209,0 ms max latency.
360 records sent, 70,1 records/sec (0,07 MB/sec), 14,3 ms avg latency, 209,0 ms max latency.
258 records sent, 49,4 records/sec (0,05 MB/sec), 20,2 ms avg latency, 626,0 ms max latency.
413 records sent, 79,9 records/sec (0,08 MB/sec), 12,5 ms avg latency, 628,0 ms max latency.
442 records sent, 85,1 records/sec (0,08 MB/sec), 11,7 ms avg latency, 209,0 ms max latency.
346 records sent, 67,5 records/sec (0,06 MB/sec), 14,8 ms avg latency, 638,0 ms max latency.
391 records sent, 76,2 records/sec (0,07 MB/sec), 13,1 ms avg latency, 209,0 ms max latency.
229 records sent, 44,0 records/sec (0,04 MB/sec), 22,7 ms avg latency, 633,0 ms max latency.
448 records sent, 71,2 records/sec (0,07 MB/sec), 14,0 ms avg latency, 1505,0 ms max latency.
262 records sent, 51,9 records/sec (0,05 MB/sec), 19,2 ms avg latency, 645,0 ms max latency.
340 records sent, 51,5 records/sec (0,05 MB/sec), 19,4 ms avg latency, 1703,0 ms max latency.
352 records sent, 65,4 records/sec (0,06 MB/sec), 15,3 ms avg latency, 645,0 ms max latency.
300 records sent, 59,1 records/sec (0,06 MB/sec), 16,9 ms avg latency, 624,0 ms max latency.
398 records sent, 70,9 records/sec (0,07 MB/sec), 14,1 ms avg latency, 629,0 ms max latency.
240 records sent, 47,0 records/sec (0,04 MB/sec), 21,3 ms avg latency, 1532,0 ms max latency.
426 records sent, 85,1 records/sec (0,08 MB/sec), 11,7 ms avg latency, 620,0 ms max latency.
371 records sent, 71,8 records/sec (0,07 MB/sec), 13,9 ms avg latency, 634,0 ms max latency.
423 records sent, 84,6 records/sec (0,08 MB/sec), 11,8 ms avg latency, 634,0 ms max latency.
393 records sent, 75,7 records/sec (0,07 MB/sec), 13,2 ms avg latency, 211,0 ms max latency.
323 records sent, 62,7 records/sec (0,06 MB/sec), 15,9 ms avg latency, 1718,0 ms max latency.
269 records sent, 52,9 records/sec (0,05 MB/sec), 18,8 ms avg latency, 638,0 ms max latency.
358 records sent, 70,0 records/sec (0,07 MB/sec), 14,3 ms avg latency, 627,0 ms max latency.
379 records sent, 73,7 records/sec (0,07 MB/sec), 13,5 ms avg latency, 209,0 ms max latency.
433 records sent, 86,6 records/sec (0,08 MB/sec), 11,5 ms avg latency, 209,0 ms max latency.
287 records sent, 56,2 records/sec (0,05 MB/sec), 17,8 ms avg latency, 642,0 ms max latency.
254 records sent, 50,0 records/sec (0,05 MB/sec), 20,0 ms avg latency, 649,0 ms max latency.
412 records sent, 82,1 records/sec (0,08 MB/sec), 12,2 ms avg latency, 640,0 ms max latency.
271 records sent, 53,7 records/sec (0,05 MB/sec), 18,6 ms avg latency, 626,0 ms max latency.
440 records sent, 87,4 records/sec (0,08 MB/sec), 11,4 ms avg latency, 640,0 ms max latency.
283 records sent, 56,0 records/sec (0,05 MB/sec), 17,8 ms avg latency, 209,0 ms max latency.
378 records sent, 73,4 records/sec (0,07 MB/sec), 13,6 ms avg latency, 217,0 ms max latency.
318 records sent, 62,1 records/sec (0,06 MB/sec), 16,1 ms avg latency, 646,0 ms max latency.
544 records sent, 106,0 records/sec (0,10 MB/sec), 9,4 ms avg latency, 627,0 ms max latency.
463 records sent, 92,0 records/sec (0,09 MB/sec), 10,8 ms avg latency, 209,0 ms max latency.
454 records sent, 90,6 records/sec (0,09 MB/sec), 11,0 ms avg latency, 620,0 ms max latency.
286 records sent, 56,4 records/sec (0,05 MB/sec), 17,7 ms avg latency, 648,0 ms max latency.
277 records sent, 54,7 records/sec (0,05 MB/sec), 18,3 ms avg latency, 637,0 ms max latency.
274 records sent, 53,4 records/sec (0,05 MB/sec), 18,7 ms avg latency, 1523,0 ms max latency.
260 records sent, 51,6 records/sec (0,05 MB/sec), 19,4 ms avg latency, 643,0 ms max latency.
