Topic to send: test-topic
Topic to acks: 0
Records: 80000
Size:1000
3510 records sent, 688,4 records/sec (0,66 MB/sec), 1,4 ms avg latency, 263,0 ms max latency.
3920 records sent, 772,1 records/sec (0,74 MB/sec), 1,3 ms avg latency, 210,0 ms max latency.
4438 records sent, 821,5 records/sec (0,78 MB/sec), 1,2 ms avg latency, 691,0 ms max latency.
4485 records sent, 897,0 records/sec (0,86 MB/sec), 1,1 ms avg latency, 618,0 ms max latency.
3760 records sent, 745,7 records/sec (0,71 MB/sec), 1,3 ms avg latency, 476,0 ms max latency.
3246 records sent, 640,7 records/sec (0,61 MB/sec), 1,5 ms avg latency, 684,0 ms max latency.
3569 records sent, 698,4 records/sec (0,67 MB/sec), 1,4 ms avg latency, 486,0 ms max latency.
3152 records sent, 619,6 records/sec (0,59 MB/sec), 1,6 ms avg latency, 666,0 ms max latency.
4199 records sent, 808,4 records/sec (0,77 MB/sec), 1,2 ms avg latency, 651,0 ms max latency.
3153 records sent, 630,6 records/sec (0,60 MB/sec), 1,6 ms avg latency, 213,0 ms max latency.
2053 records sent, 389,3 records/sec (0,37 MB/sec), 2,6 ms avg latency, 628,0 ms max latency.
3134 records sent, 605,1 records/sec (0,58 MB/sec), 1,6 ms avg latency, 638,0 ms max latency.
3163 records sent, 572,7 records/sec (0,55 MB/sec), 1,7 ms avg latency, 621,0 ms max latency.
2945 records sent, 578,0 records/sec (0,55 MB/sec), 1,7 ms avg latency, 681,0 ms max latency.
2799 records sent, 552,8 records/sec (0,53 MB/sec), 1,8 ms avg latency, 1246,0 ms max latency.
2487 records sent, 492,4 records/sec (0,47 MB/sec), 2,0 ms avg latency, 638,0 ms max latency.
3959 records sent, 783,8 records/sec (0,75 MB/sec), 1,3 ms avg latency, 418,0 ms max latency.
3691 records sent, 692,4 records/sec (0,66 MB/sec), 1,4 ms avg latency, 413,0 ms max latency.
3978 records sent, 774,1 records/sec (0,74 MB/sec), 1,3 ms avg latency, 640,0 ms max latency.
2392 records sent, 475,5 records/sec (0,45 MB/sec), 2,1 ms avg latency, 688,0 ms max latency.
3464 records sent, 676,2 records/sec (0,64 MB/sec), 1,5 ms avg latency, 675,0 ms max latency.
1937 records sent, 350,0 records/sec (0,33 MB/sec), 2,9 ms avg latency, 647,0 ms max latency.
3067 records sent, 538,4 records/sec (0,51 MB/sec), 1,8 ms avg latency, 896,0 ms max latency.
80000 records sent, 647,453485 records/sec (0,62 MB/sec), 1,53 ms avg latency, 1246,00 ms max latency, 0 ms 50th, 1 ms 95th, 1 ms 99th, 210 ms 99.9th.

Metric Name                                                                          Value
app-info:commit-id:{client-id=producer-1}                                          : d12590634290dbc4
app-info:start-time-ms:{client-id=producer-1}                                      : 1593109416819
app-info:version:{client-id=producer-1}                                            : 2.3.1
kafka-metrics-count:count:{client-id=producer-1}                                   : 126,000
producer-metrics:batch-size-avg:{client-id=producer-1}                             : 1075,000
producer-metrics:batch-size-max:{client-id=producer-1}                             : 1075,000
producer-metrics:batch-split-rate:{client-id=producer-1}                           : 0,000
producer-metrics:batch-split-total:{client-id=producer-1}                          : 0,000
producer-metrics:buffer-available-bytes:{client-id=producer-1}                     : 33554432,000
producer-metrics:buffer-exhausted-rate:{client-id=producer-1}                      : 0,000
producer-metrics:buffer-exhausted-total:{client-id=producer-1}                     : 0,000
producer-metrics:buffer-total-bytes:{client-id=producer-1}                         : 33554432,000
producer-metrics:bufferpool-wait-ratio:{client-id=producer-1}                      : 0,000
producer-metrics:bufferpool-wait-time-total:{client-id=producer-1}                 : 0,000
producer-metrics:compression-rate-avg:{client-id=producer-1}                       : 1,000
producer-metrics:connection-close-rate:{client-id=producer-1}                      : 0,210
producer-metrics:connection-close-total:{client-id=producer-1}                     : 29,000
producer-metrics:connection-count:{client-id=producer-1}                           : 4,000
producer-metrics:connection-creation-rate:{client-id=producer-1}                   : 0,210
producer-metrics:connection-creation-total:{client-id=producer-1}                  : 33,000
producer-metrics:failed-authentication-rate:{client-id=producer-1}                 : 0,000
producer-metrics:failed-authentication-total:{client-id=producer-1}                : 0,000
producer-metrics:failed-reauthentication-rate:{client-id=producer-1}               : 0,000
producer-metrics:failed-reauthentication-total:{client-id=producer-1}              : 0,000
producer-metrics:incoming-byte-rate:{client-id=producer-1}                         : 116,478
producer-metrics:incoming-byte-total:{client-id=producer-1}                        : 17112,000
producer-metrics:io-ratio:{client-id=producer-1}                                   : 0,008
producer-metrics:io-time-ns-avg:{client-id=producer-1}                             : 6594,814
producer-metrics:io-wait-ratio:{client-id=producer-1}                              : 0,973
producer-metrics:io-wait-time-ns-avg:{client-id=producer-1}                        : 810387,881
producer-metrics:io-waittime-total:{client-id=producer-1}                          : 118056287915,000
producer-metrics:iotime-total:{client-id=producer-1}                               : 1324045841,000
producer-metrics:metadata-age:{client-id=producer-1}                               : 4,650
producer-metrics:network-io-rate:{client-id=producer-1}                            : 595,907
producer-metrics:network-io-total:{client-id=producer-1}                           : 80121,000
producer-metrics:outgoing-byte-rate:{client-id=producer-1}                         : 681581,823
producer-metrics:outgoing-byte-total:{client-id=producer-1}                        : 91590933,000
producer-metrics:produce-throttle-time-avg:{client-id=producer-1}                  : 0,000
producer-metrics:produce-throttle-time-max:{client-id=producer-1}                  : 0,000
producer-metrics:reauthentication-latency-avg:{client-id=producer-1}               : NaN
producer-metrics:reauthentication-latency-max:{client-id=producer-1}               : NaN
producer-metrics:record-error-rate:{client-id=producer-1}                          : 0,000
producer-metrics:record-error-total:{client-id=producer-1}                         : 0,000
producer-metrics:record-queue-time-avg:{client-id=producer-1}                      : 0,190
producer-metrics:record-queue-time-max:{client-id=producer-1}                      : 896,000
producer-metrics:record-retry-rate:{client-id=producer-1}                          : 0,210
producer-metrics:record-retry-total:{client-id=producer-1}                         : 27,000
producer-metrics:record-send-rate:{client-id=producer-1}                           : 595,372
producer-metrics:record-send-total:{client-id=producer-1}                          : 80027,000
producer-metrics:record-size-avg:{client-id=producer-1}                            : 1091,000
producer-metrics:record-size-max:{client-id=producer-1}                            : 1091,000
producer-metrics:records-per-request-avg:{client-id=producer-1}                    : 1,000
producer-metrics:request-latency-avg:{client-id=producer-1}                        : NaN
producer-metrics:request-latency-max:{client-id=producer-1}                        : NaN
producer-metrics:request-rate:{client-id=producer-1}                               : 595,564
producer-metrics:request-size-avg:{client-id=producer-1}                           : 1144,327
producer-metrics:request-size-max:{client-id=producer-1}                           : 1145,000
producer-metrics:request-total:{client-id=producer-1}                              : 80062,000
producer-metrics:requests-in-flight:{client-id=producer-1}                         : 0,000
producer-metrics:response-rate:{client-id=producer-1}                              : 0,402
producer-metrics:response-total:{client-id=producer-1}                             : 59,000
producer-metrics:select-rate:{client-id=producer-1}                                : 1200,968
producer-metrics:select-total:{client-id=producer-1}                               : 160236,000
producer-metrics:successful-authentication-no-reauth-total:{client-id=producer-1}  : 0,000
producer-metrics:successful-authentication-rate:{client-id=producer-1}             : 0,000
producer-metrics:successful-authentication-total:{client-id=producer-1}            : 0,000
producer-metrics:successful-reauthentication-rate:{client-id=producer-1}           : 0,000
producer-metrics:successful-reauthentication-total:{client-id=producer-1}          : 0,000
producer-metrics:waiting-threads:{client-id=producer-1}                            : 0,000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node--1}   : 0,000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-1}    : 45,312
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-3}    : 28,874
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-6}    : 44,052
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node--1}  : 579,000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-1}   : 6075,000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-3}   : 4071,000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-6}   : 6387,000
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node--1}   : 0,000
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node-1}    : 225664,821
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node-3}    : 228390,786
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node-6}    : 225844,503
producer-node-metrics:outgoing-byte-total:{client-id=producer-1, node-id=node--1}  : 67,000
producer-node-metrics:outgoing-byte-total:{client-id=producer-1, node-id=node-1}   : 30557069,000
producer-node-metrics:outgoing-byte-total:{client-id=producer-1, node-id=node-3}   : 30641478,000
producer-node-metrics:outgoing-byte-total:{client-id=producer-1, node-id=node-6}   : 30392319,000
producer-node-metrics:request-latency-avg:{client-id=producer-1, node-id=node--1}  : NaN
