Topic to send: test-topic
Topic to acks: 0
Records: 80000
Size:1000
2408 records sent, 477,1 records/sec (0,46 MB/sec), 2,0 ms avg latency, 670,0 ms max latency.
2790 records sent, 547,3 records/sec (0,52 MB/sec), 1,8 ms avg latency, 1487,0 ms max latency.
3524 records sent, 694,5 records/sec (0,66 MB/sec), 1,4 ms avg latency, 676,0 ms max latency.
3273 records sent, 642,0 records/sec (0,61 MB/sec), 1,5 ms avg latency, 594,0 ms max latency.
3148 records sent, 607,4 records/sec (0,58 MB/sec), 1,6 ms avg latency, 654,0 ms max latency.
4100 records sent, 750,4 records/sec (0,72 MB/sec), 1,3 ms avg latency, 655,0 ms max latency.
4452 records sent, 830,3 records/sec (0,79 MB/sec), 1,2 ms avg latency, 664,0 ms max latency.
3263 records sent, 648,7 records/sec (0,62 MB/sec), 1,5 ms avg latency, 638,0 ms max latency.
3058 records sent, 604,5 records/sec (0,58 MB/sec), 1,6 ms avg latency, 641,0 ms max latency.
3817 records sent, 744,5 records/sec (0,71 MB/sec), 1,3 ms avg latency, 642,0 ms max latency.
3656 records sent, 684,3 records/sec (0,65 MB/sec), 1,4 ms avg latency, 476,0 ms max latency.
2977 records sent, 591,6 records/sec (0,56 MB/sec), 1,7 ms avg latency, 585,0 ms max latency.
3063 records sent, 601,4 records/sec (0,57 MB/sec), 1,6 ms avg latency, 583,0 ms max latency.
3689 records sent, 717,8 records/sec (0,68 MB/sec), 1,4 ms avg latency, 682,0 ms max latency.
2957 records sent, 584,6 records/sec (0,56 MB/sec), 1,7 ms avg latency, 666,0 ms max latency.
2469 records sent, 474,2 records/sec (0,45 MB/sec), 2,1 ms avg latency, 638,0 ms max latency.
3191 records sent, 623,4 records/sec (0,59 MB/sec), 1,6 ms avg latency, 754,0 ms max latency.
3056 records sent, 586,0 records/sec (0,56 MB/sec), 1,7 ms avg latency, 631,0 ms max latency.
2891 records sent, 554,4 records/sec (0,53 MB/sec), 1,8 ms avg latency, 613,0 ms max latency.
3522 records sent, 698,4 records/sec (0,67 MB/sec), 1,4 ms avg latency, 890,0 ms max latency.
2650 records sent, 530,0 records/sec (0,51 MB/sec), 1,9 ms avg latency, 666,0 ms max latency.
3495 records sent, 680,6 records/sec (0,65 MB/sec), 1,5 ms avg latency, 248,0 ms max latency.
3702 records sent, 720,4 records/sec (0,69 MB/sec), 1,4 ms avg latency, 693,0 ms max latency.
3461 records sent, 686,4 records/sec (0,65 MB/sec), 1,4 ms avg latency, 669,0 ms max latency.
80000 records sent, 637,302934 records/sec (0,61 MB/sec), 1,56 ms avg latency, 1487,00 ms max latency, 0 ms 50th, 1 ms 95th, 1 ms 99th, 215 ms 99.9th.

Metric Name                                                                          Value
app-info:commit-id:{client-id=producer-1}                                          : d12590634290dbc4
app-info:start-time-ms:{client-id=producer-1}                                      : 1593105171202
app-info:version:{client-id=producer-1}                                            : 2.3.1
kafka-metrics-count:count:{client-id=producer-1}                                   : 126,000
producer-metrics:batch-size-avg:{client-id=producer-1}                             : 1075,000
producer-metrics:batch-size-max:{client-id=producer-1}                             : 1075,000
producer-metrics:batch-split-rate:{client-id=producer-1}                           : 0,000
producer-metrics:batch-split-total:{client-id=producer-1}                          : 0,000
producer-metrics:buffer-available-bytes:{client-id=producer-1}                     : 33554432,000
producer-metrics:buffer-exhausted-rate:{client-id=producer-1}                      : 0,000
producer-metrics:buffer-exhausted-total:{client-id=producer-1}                     : 0,000
producer-metrics:buffer-total-bytes:{client-id=producer-1}                         : 33554432,000
producer-metrics:bufferpool-wait-ratio:{client-id=producer-1}                      : 0,000
producer-metrics:bufferpool-wait-time-total:{client-id=producer-1}                 : 0,000
producer-metrics:compression-rate-avg:{client-id=producer-1}                       : 1,000
producer-metrics:connection-close-rate:{client-id=producer-1}                      : 0,322
producer-metrics:connection-close-total:{client-id=producer-1}                     : 38,000
producer-metrics:connection-count:{client-id=producer-1}                           : 4,000
producer-metrics:connection-creation-rate:{client-id=producer-1}                   : 0,322
producer-metrics:connection-creation-total:{client-id=producer-1}                  : 42,000
producer-metrics:failed-authentication-rate:{client-id=producer-1}                 : 0,000
producer-metrics:failed-authentication-total:{client-id=producer-1}                : 0,000
producer-metrics:failed-reauthentication-rate:{client-id=producer-1}               : 0,000
producer-metrics:failed-reauthentication-total:{client-id=producer-1}              : 0,000
producer-metrics:incoming-byte-rate:{client-id=producer-1}                         : 186,380
producer-metrics:incoming-byte-total:{client-id=producer-1}                        : 22893,000
producer-metrics:io-ratio:{client-id=producer-1}                                   : 0,009
producer-metrics:io-time-ns-avg:{client-id=producer-1}                             : 6991,517
producer-metrics:io-wait-ratio:{client-id=producer-1}                              : 0,976
producer-metrics:io-wait-time-ns-avg:{client-id=producer-1}                        : 758246,963
producer-metrics:io-waittime-total:{client-id=producer-1}                          : 119949996285,000
producer-metrics:iotime-total:{client-id=producer-1}                               : 1313024892,000
producer-metrics:metadata-age:{client-id=producer-1}                               : 0,249
producer-metrics:network-io-rate:{client-id=producer-1}                            : 641,256
producer-metrics:network-io-total:{client-id=producer-1}                           : 80159,000
producer-metrics:outgoing-byte-rate:{client-id=producer-1}                         : 732782,501
producer-metrics:outgoing-byte-total:{client-id=producer-1}                        : 91591536,000
producer-metrics:produce-throttle-time-avg:{client-id=producer-1}                  : 0,000
producer-metrics:produce-throttle-time-max:{client-id=producer-1}                  : 0,000
producer-metrics:reauthentication-latency-avg:{client-id=producer-1}               : NaN
producer-metrics:reauthentication-latency-max:{client-id=producer-1}               : NaN
producer-metrics:record-error-rate:{client-id=producer-1}                          : 0,000
producer-metrics:record-error-total:{client-id=producer-1}                         : 0,000
producer-metrics:record-queue-time-avg:{client-id=producer-1}                      : 0,310
producer-metrics:record-queue-time-max:{client-id=producer-1}                      : 890,000
producer-metrics:record-retry-rate:{client-id=producer-1}                          : 0,322
producer-metrics:record-retry-total:{client-id=producer-1}                         : 37,000
producer-metrics:record-send-rate:{client-id=producer-1}                           : 641,079
producer-metrics:record-send-total:{client-id=producer-1}                          : 80037,000
producer-metrics:record-size-avg:{client-id=producer-1}                            : 1091,000
producer-metrics:record-size-max:{client-id=producer-1}                            : 1091,000
producer-metrics:records-per-request-avg:{client-id=producer-1}                    : 1,000
producer-metrics:request-latency-avg:{client-id=producer-1}                        : NaN
producer-metrics:request-latency-max:{client-id=producer-1}                        : NaN
producer-metrics:request-rate:{client-id=producer-1}                               : 640,592
producer-metrics:request-size-avg:{client-id=producer-1}                           : 1143,817
producer-metrics:request-size-max:{client-id=producer-1}                           : 1145,000
producer-metrics:request-total:{client-id=producer-1}                              : 80080,000
producer-metrics:requests-in-flight:{client-id=producer-1}                         : 0,000
producer-metrics:response-rate:{client-id=producer-1}                              : 0,644
producer-metrics:response-total:{client-id=producer-1}                             : 79,000
producer-metrics:select-rate:{client-id=producer-1}                                : 1287,435
producer-metrics:select-total:{client-id=producer-1}                               : 160177,000
producer-metrics:successful-authentication-no-reauth-total:{client-id=producer-1}  : 0,000
producer-metrics:successful-authentication-rate:{client-id=producer-1}             : 0,000
producer-metrics:successful-authentication-total:{client-id=producer-1}            : 0,000
producer-metrics:successful-reauthentication-rate:{client-id=producer-1}           : 0,000
producer-metrics:successful-reauthentication-total:{client-id=producer-1}          : 0,000
producer-metrics:waiting-threads:{client-id=producer-1}                            : 0,000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node--1}   : 0,000
