Topic to send: test-topic
Topic to acks: 0
Records: 80000
Size:1000
3319 records sent, 659,6 records/sec (0,63 MB/sec), 1,5 ms avg latency, 516,0 ms max latency.
3777 records sent, 749,0 records/sec (0,71 MB/sec), 1,3 ms avg latency, 549,0 ms max latency.
4968 records sent, 990,8 records/sec (0,94 MB/sec), 1,0 ms avg latency, 606,0 ms max latency.
3780 records sent, 677,5 records/sec (0,65 MB/sec), 1,5 ms avg latency, 859,0 ms max latency.
3436 records sent, 675,6 records/sec (0,64 MB/sec), 1,5 ms avg latency, 1508,0 ms max latency.
3765 records sent, 742,2 records/sec (0,71 MB/sec), 1,3 ms avg latency, 616,0 ms max latency.
4011 records sent, 793,9 records/sec (0,76 MB/sec), 1,2 ms avg latency, 1109,0 ms max latency.
2373 records sent, 474,6 records/sec (0,45 MB/sec), 2,1 ms avg latency, 619,0 ms max latency.
3610 records sent, 641,2 records/sec (0,61 MB/sec), 1,5 ms avg latency, 898,0 ms max latency.
3240 records sent, 631,3 records/sec (0,60 MB/sec), 1,6 ms avg latency, 619,0 ms max latency.
2635 records sent, 506,1 records/sec (0,48 MB/sec), 2,0 ms avg latency, 671,0 ms max latency.
3058 records sent, 606,4 records/sec (0,58 MB/sec), 1,6 ms avg latency, 651,0 ms max latency.
3362 records sent, 665,7 records/sec (0,63 MB/sec), 1,5 ms avg latency, 877,0 ms max latency.
3829 records sent, 763,7 records/sec (0,73 MB/sec), 1,3 ms avg latency, 443,0 ms max latency.
3571 records sent, 704,9 records/sec (0,67 MB/sec), 1,4 ms avg latency, 496,0 ms max latency.
4836 records sent, 943,2 records/sec (0,90 MB/sec), 1,0 ms avg latency, 678,0 ms max latency.
3750 records sent, 750,0 records/sec (0,72 MB/sec), 1,3 ms avg latency, 411,0 ms max latency.
2597 records sent, 499,8 records/sec (0,48 MB/sec), 2,0 ms avg latency, 693,0 ms max latency.
3451 records sent, 673,5 records/sec (0,64 MB/sec), 1,5 ms avg latency, 428,0 ms max latency.
3181 records sent, 568,2 records/sec (0,54 MB/sec), 1,8 ms avg latency, 711,0 ms max latency.
4029 records sent, 788,9 records/sec (0,75 MB/sec), 1,3 ms avg latency, 654,0 ms max latency.
3373 records sent, 669,0 records/sec (0,64 MB/sec), 1,5 ms avg latency, 730,0 ms max latency.
80000 records sent, 691,658597 records/sec (0,66 MB/sec), 1,43 ms avg latency, 1508,00 ms max latency, 0 ms 50th, 1 ms 95th, 1 ms 99th, 208 ms 99.9th.

Metric Name                                                                          Value
app-info:commit-id:{client-id=producer-1}                                          : d12590634290dbc4
app-info:start-time-ms:{client-id=producer-1}                                      : 1593111226079
app-info:version:{client-id=producer-1}                                            : 2.3.1
kafka-metrics-count:count:{client-id=producer-1}                                   : 126,000
producer-metrics:batch-size-avg:{client-id=producer-1}                             : 1075,000
producer-metrics:batch-size-max:{client-id=producer-1}                             : 1075,000
producer-metrics:batch-split-rate:{client-id=producer-1}                           : 0,000
producer-metrics:batch-split-total:{client-id=producer-1}                          : 0,000
producer-metrics:buffer-available-bytes:{client-id=producer-1}                     : 33554432,000
producer-metrics:buffer-exhausted-rate:{client-id=producer-1}                      : 0,000
producer-metrics:buffer-exhausted-total:{client-id=producer-1}                     : 0,000
producer-metrics:buffer-total-bytes:{client-id=producer-1}                         : 33554432,000
producer-metrics:bufferpool-wait-ratio:{client-id=producer-1}                      : 0,000
producer-metrics:bufferpool-wait-time-total:{client-id=producer-1}                 : 0,000
producer-metrics:compression-rate-avg:{client-id=producer-1}                       : 1,000
producer-metrics:connection-close-rate:{client-id=producer-1}                      : 0,276
producer-metrics:connection-close-total:{client-id=producer-1}                     : 33,000
producer-metrics:connection-count:{client-id=producer-1}                           : 4,000
producer-metrics:connection-creation-rate:{client-id=producer-1}                   : 0,276
producer-metrics:connection-creation-total:{client-id=producer-1}                  : 37,000
producer-metrics:failed-authentication-rate:{client-id=producer-1}                 : 0,000
producer-metrics:failed-authentication-total:{client-id=producer-1}                : 0,000
producer-metrics:failed-reauthentication-rate:{client-id=producer-1}               : 0,000
producer-metrics:failed-reauthentication-total:{client-id=producer-1}              : 0,000
producer-metrics:incoming-byte-rate:{client-id=producer-1}                         : 142,950
producer-metrics:incoming-byte-total:{client-id=producer-1}                        : 19143,000
producer-metrics:io-ratio:{client-id=producer-1}                                   : 0,010
producer-metrics:io-time-ns-avg:{client-id=producer-1}                             : 7336,725
producer-metrics:io-wait-ratio:{client-id=producer-1}                              : 0,970
producer-metrics:io-wait-time-ns-avg:{client-id=producer-1}                        : 687645,517
producer-metrics:io-waittime-total:{client-id=producer-1}                          : 109964635043,000
producer-metrics:iotime-total:{client-id=producer-1}                               : 1382186744,000
producer-metrics:metadata-age:{client-id=producer-1}                               : 3,588
producer-metrics:network-io-rate:{client-id=producer-1}                            : 711,895
producer-metrics:network-io-total:{client-id=producer-1}                           : 80134,000
producer-metrics:outgoing-byte-rate:{client-id=producer-1}                         : 814057,184
