Topic to send: test-topic
Topic to acks: -1
Records: 80000
Size:10000
999 records sent, 199,7 records/sec (1,90 MB/sec), 5,0 ms avg latency, 260,0 ms max latency.
1149 records sent, 229,8 records/sec (2,19 MB/sec), 4,3 ms avg latency, 6,0 ms max latency.
1167 records sent, 233,3 records/sec (2,22 MB/sec), 4,3 ms avg latency, 27,0 ms max latency.
1181 records sent, 236,2 records/sec (2,25 MB/sec), 4,2 ms avg latency, 46,0 ms max latency.
1193 records sent, 238,5 records/sec (2,27 MB/sec), 4,2 ms avg latency, 47,0 ms max latency.
1229 records sent, 245,8 records/sec (2,34 MB/sec), 4,0 ms avg latency, 33,0 ms max latency.
1194 records sent, 238,7 records/sec (2,28 MB/sec), 4,2 ms avg latency, 40,0 ms max latency.
1213 records sent, 242,6 records/sec (2,31 MB/sec), 4,1 ms avg latency, 6,0 ms max latency.
1202 records sent, 240,4 records/sec (2,29 MB/sec), 4,1 ms avg latency, 32,0 ms max latency.
1234 records sent, 246,7 records/sec (2,35 MB/sec), 4,0 ms avg latency, 6,0 ms max latency.
1210 records sent, 242,0 records/sec (2,31 MB/sec), 4,1 ms avg latency, 38,0 ms max latency.
1216 records sent, 243,1 records/sec (2,32 MB/sec), 4,1 ms avg latency, 86,0 ms max latency.
1218 records sent, 243,6 records/sec (2,32 MB/sec), 4,1 ms avg latency, 35,0 ms max latency.
1232 records sent, 246,4 records/sec (2,35 MB/sec), 4,0 ms avg latency, 34,0 ms max latency.
1228 records sent, 245,5 records/sec (2,34 MB/sec), 4,1 ms avg latency, 26,0 ms max latency.
1226 records sent, 245,1 records/sec (2,34 MB/sec), 4,1 ms avg latency, 15,0 ms max latency.
1247 records sent, 249,3 records/sec (2,38 MB/sec), 4,0 ms avg latency, 5,0 ms max latency.
1221 records sent, 244,1 records/sec (2,33 MB/sec), 4,1 ms avg latency, 29,0 ms max latency.
1228 records sent, 245,6 records/sec (2,34 MB/sec), 4,1 ms avg latency, 23,0 ms max latency.
1200 records sent, 239,9 records/sec (2,29 MB/sec), 4,2 ms avg latency, 50,0 ms max latency.
1230 records sent, 245,9 records/sec (2,34 MB/sec), 4,1 ms avg latency, 6,0 ms max latency.
1220 records sent, 243,9 records/sec (2,33 MB/sec), 4,1 ms avg latency, 35,0 ms max latency.
1234 records sent, 246,8 records/sec (2,35 MB/sec), 4,0 ms avg latency, 20,0 ms max latency.
1224 records sent, 244,8 records/sec (2,33 MB/sec), 4,1 ms avg latency, 16,0 ms max latency.
1225 records sent, 245,0 records/sec (2,34 MB/sec), 4,1 ms avg latency, 29,0 ms max latency.
1193 records sent, 238,5 records/sec (2,27 MB/sec), 4,2 ms avg latency, 51,0 ms max latency.
1213 records sent, 242,5 records/sec (2,31 MB/sec), 4,1 ms avg latency, 24,0 ms max latency.
1220 records sent, 243,9 records/sec (2,33 MB/sec), 4,1 ms avg latency, 16,0 ms max latency.
1228 records sent, 245,5 records/sec (2,34 MB/sec), 4,1 ms avg latency, 8,0 ms max latency.
1218 records sent, 243,5 records/sec (2,32 MB/sec), 4,1 ms avg latency, 36,0 ms max latency.
1231 records sent, 246,1 records/sec (2,35 MB/sec), 4,1 ms avg latency, 22,0 ms max latency.
1196 records sent, 239,2 records/sec (2,28 MB/sec), 4,2 ms avg latency, 68,0 ms max latency.
1214 records sent, 242,8 records/sec (2,32 MB/sec), 4,1 ms avg latency, 31,0 ms max latency.
1224 records sent, 244,8 records/sec (2,33 MB/sec), 4,1 ms avg latency, 33,0 ms max latency.
1231 records sent, 245,4 records/sec (2,34 MB/sec), 4,1 ms avg latency, 23,0 ms max latency.
1235 records sent, 247,0 records/sec (2,36 MB/sec), 4,0 ms avg latency, 5,0 ms max latency.
1229 records sent, 245,5 records/sec (2,34 MB/sec), 4,1 ms avg latency, 38,0 ms max latency.
1224 records sent, 244,8 records/sec (2,33 MB/sec), 4,1 ms avg latency, 28,0 ms max latency.
1218 records sent, 243,6 records/sec (2,32 MB/sec), 4,1 ms avg latency, 34,0 ms max latency.
1229 records sent, 245,8 records/sec (2,34 MB/sec), 4,1 ms avg latency, 35,0 ms max latency.
1238 records sent, 247,5 records/sec (2,36 MB/sec), 4,0 ms avg latency, 18,0 ms max latency.
1241 records sent, 248,1 records/sec (2,37 MB/sec), 4,0 ms avg latency, 32,0 ms max latency.
1215 records sent, 243,0 records/sec (2,32 MB/sec), 4,1 ms avg latency, 48,0 ms max latency.
1238 records sent, 247,6 records/sec (2,36 MB/sec), 4,0 ms avg latency, 10,0 ms max latency.
1224 records sent, 244,8 records/sec (2,33 MB/sec), 4,1 ms avg latency, 38,0 ms max latency.
1234 records sent, 246,7 records/sec (2,35 MB/sec), 4,0 ms avg latency, 25,0 ms max latency.
1230 records sent, 245,9 records/sec (2,35 MB/sec), 4,1 ms avg latency, 32,0 ms max latency.
1238 records sent, 247,4 records/sec (2,36 MB/sec), 4,0 ms avg latency, 5,0 ms max latency.
1211 records sent, 242,2 records/sec (2,31 MB/sec), 4,1 ms avg latency, 34,0 ms max latency.
1209 records sent, 241,7 records/sec (2,31 MB/sec), 4,1 ms avg latency, 36,0 ms max latency.
1211 records sent, 242,1 records/sec (2,31 MB/sec), 4,1 ms avg latency, 43,0 ms max latency.
1237 records sent, 247,3 records/sec (2,36 MB/sec), 4,0 ms avg latency, 5,0 ms max latency.
1228 records sent, 245,5 records/sec (2,34 MB/sec), 4,1 ms avg latency, 25,0 ms max latency.
1207 records sent, 241,3 records/sec (2,30 MB/sec), 4,1 ms avg latency, 33,0 ms max latency.
1193 records sent, 238,6 records/sec (2,28 MB/sec), 4,2 ms avg latency, 56,0 ms max latency.
1230 records sent, 245,8 records/sec (2,34 MB/sec), 4,0 ms avg latency, 21,0 ms max latency.
1223 records sent, 244,5 records/sec (2,33 MB/sec), 4,1 ms avg latency, 33,0 ms max latency.
1223 records sent, 244,5 records/sec (2,33 MB/sec), 4,1 ms avg latency, 5,0 ms max latency.
1197 records sent, 239,4 records/sec (2,28 MB/sec), 4,2 ms avg latency, 56,0 ms max latency.
1225 records sent, 244,9 records/sec (2,34 MB/sec), 4,1 ms avg latency, 22,0 ms max latency.
1214 records sent, 242,7 records/sec (2,31 MB/sec), 4,1 ms avg latency, 18,0 ms max latency.
1229 records sent, 245,7 records/sec (2,34 MB/sec), 4,1 ms avg latency, 5,0 ms max latency.
1210 records sent, 241,9 records/sec (2,31 MB/sec), 4,1 ms avg latency, 40,0 ms max latency.
1227 records sent, 245,4 records/sec (2,34 MB/sec), 4,1 ms avg latency, 11,0 ms max latency.
1219 records sent, 243,7 records/sec (2,32 MB/sec), 4,1 ms avg latency, 29,0 ms max latency.
80000 records sent, 242,889412 records/sec (2,32 MB/sec), 4,10 ms avg latency, 260,00 ms max latency, 4 ms 50th, 5 ms 95th, 5 ms 99th, 21 ms 99.9th.

Metric Name                                                                          Value
app-info:commit-id:{client-id=producer-1}                                          : d4284cbebb6f0a4c
app-info:start-time-ms:{client-id=producer-1}                                      : 1590027563354
app-info:version:{client-id=producer-1}                                            : 2.3.1
kafka-metrics-count:count:{client-id=producer-1}                                   : 126,000
producer-metrics:batch-size-avg:{client-id=producer-1}                             : 10077,000
producer-metrics:batch-size-max:{client-id=producer-1}                             : 10077,000
producer-metrics:batch-split-rate:{client-id=producer-1}                           : 0,000
producer-metrics:batch-split-total:{client-id=producer-1}                          : 0,000
producer-metrics:buffer-available-bytes:{client-id=producer-1}                     : 33554432,000
producer-metrics:buffer-exhausted-rate:{client-id=producer-1}                      : 0,000
producer-metrics:buffer-exhausted-total:{client-id=producer-1}                     : 0,000
producer-metrics:buffer-total-bytes:{client-id=producer-1}                         : 33554432,000
producer-metrics:bufferpool-wait-ratio:{client-id=producer-1}                      : 0,000
producer-metrics:bufferpool-wait-time-total:{client-id=producer-1}                 : 0,000
producer-metrics:compression-rate-avg:{client-id=producer-1}                       : 1,000
producer-metrics:connection-close-rate:{client-id=producer-1}                      : 0,000
producer-metrics:connection-close-total:{client-id=producer-1}                     : 0,000
producer-metrics:connection-count:{client-id=producer-1}                           : 4,000
producer-metrics:connection-creation-rate:{client-id=producer-1}                   : 0,000
producer-metrics:connection-creation-total:{client-id=producer-1}                  : 4,000
producer-metrics:failed-authentication-rate:{client-id=producer-1}                 : 0,000
producer-metrics:failed-authentication-total:{client-id=producer-1}                : 0,000
producer-metrics:failed-reauthentication-rate:{client-id=producer-1}               : 0,000
producer-metrics:failed-reauthentication-total:{client-id=producer-1}              : 0,000
producer-metrics:incoming-byte-rate:{client-id=producer-1}                         : 15094,784
producer-metrics:incoming-byte-total:{client-id=producer-1}                        : 4961746,000
producer-metrics:io-ratio:{client-id=producer-1}                                   : 0,013
producer-metrics:io-time-ns-avg:{client-id=producer-1}                             : 18242,506
producer-metrics:io-wait-ratio:{client-id=producer-1}                              : 0,967
producer-metrics:io-wait-time-ns-avg:{client-id=producer-1}                        : 1325771,463
producer-metrics:io-waittime-total:{client-id=producer-1}                          : 317442080859,000
producer-metrics:iotime-total:{client-id=producer-1}                               : 4764766084,000
producer-metrics:metadata-age:{client-id=producer-1}                               : 29,205
producer-metrics:network-io-rate:{client-id=producer-1}                            : 486,790
producer-metrics:network-io-total:{client-id=producer-1}                           : 160012,000
producer-metrics:outgoing-byte-rate:{client-id=producer-1}                         : 2469640,031
producer-metrics:outgoing-byte-total:{client-id=producer-1}                        : 811749072,000
producer-metrics:produce-throttle-time-avg:{client-id=producer-1}                  : 0,000
producer-metrics:produce-throttle-time-max:{client-id=producer-1}                  : 0,000
producer-metrics:reauthentication-latency-avg:{client-id=producer-1}               : NaN
producer-metrics:reauthentication-latency-max:{client-id=producer-1}               : NaN
producer-metrics:record-error-rate:{client-id=producer-1}                          : 0,000
producer-metrics:record-error-total:{client-id=producer-1}                         : 0,000
producer-metrics:record-queue-time-avg:{client-id=producer-1}                      : 0,028
producer-metrics:record-queue-time-max:{client-id=producer-1}                      : 1,000
producer-metrics:record-retry-rate:{client-id=producer-1}                          : 0,000
producer-metrics:record-retry-total:{client-id=producer-1}                         : 0,000
producer-metrics:record-send-rate:{client-id=producer-1}                           : 243,380
producer-metrics:record-send-total:{client-id=producer-1}                          : 80000,000
producer-metrics:record-size-avg:{client-id=producer-1}                            : 10092,000
producer-metrics:record-size-max:{client-id=producer-1}                            : 10092,000
producer-metrics:records-per-request-avg:{client-id=producer-1}                    : 1,000
producer-metrics:request-latency-avg:{client-id=producer-1}                        : 4,049
producer-metrics:request-latency-max:{client-id=producer-1}                        : 56,000
producer-metrics:request-rate:{client-id=producer-1}                               : 243,387
producer-metrics:request-size-avg:{client-id=producer-1}                           : 10146,299
producer-metrics:request-size-max:{client-id=producer-1}                           : 10147,000
producer-metrics:request-total:{client-id=producer-1}                              : 80006,000
producer-metrics:requests-in-flight:{client-id=producer-1}                         : 0,000
producer-metrics:response-rate:{client-id=producer-1}                              : 243,403
producer-metrics:response-total:{client-id=producer-1}                             : 80006,000
producer-metrics:select-rate:{client-id=producer-1}                                : 729,773
producer-metrics:select-total:{client-id=producer-1}                               : 239665,000
producer-metrics:successful-authentication-no-reauth-total:{client-id=producer-1}  : 0,000
producer-metrics:successful-authentication-rate:{client-id=producer-1}             : 0,000
producer-metrics:successful-authentication-total:{client-id=producer-1}            : 0,000
producer-metrics:successful-reauthentication-rate:{client-id=producer-1}           : 0,000
producer-metrics:successful-reauthentication-total:{client-id=producer-1}          : 0,000
producer-metrics:waiting-threads:{client-id=producer-1}                            : 0,000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node--1}   : 0,000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-1}    : 5095,200
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-3}    : 4993,351
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-6}    : 5006,303
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node--1}  : 579,000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-1}   : 1659662,000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-3}   : 1646431,000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-6}   : 1655074,000
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node--1}   : 0,000
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node-1}    : 833959,998
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node-3}    : 816402,338
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node-6}    : 819310,168
producer-node-metrics:outgoing-byte-total:{client-id=producer-1, node-id=node--1}  : 67,000
producer-node-metrics:outgoing-byte-total:{client-id=producer-1, node-id=node-1}   : 271570513,000
producer-node-metrics:outgoing-byte-total:{client-id=producer-1, node-id=node-3}   : 269358732,000
producer-node-metrics:outgoing-byte-total:{client-id=producer-1, node-id=node-6}   : 270819760,000
producer-node-metrics:request-latency-avg:{client-id=producer-1, node-id=node--1}  : NaN
producer-node-metrics:request-latency-avg:{client-id=producer-1, node-id=node-1}   : 4,386
producer-node-metrics:request-latency-avg:{client-id=producer-1, node-id=node-3}   : 3,878
producer-node-metrics:request-latency-avg:{client-id=producer-1, node-id=node-6}   : 3,877
producer-node-metrics:request-latency-max:{client-id=producer-1, node-id=node--1}  : NaN
producer-node-metrics:request-latency-max:{client-id=producer-1, node-id=node-1}   : 56,000
producer-node-metrics:request-latency-max:{client-id=producer-1, node-id=node-3}   : 29,000
producer-node-metrics:request-latency-max:{client-id=producer-1, node-id=node-6}   : 40,000
producer-node-metrics:request-rate:{client-id=producer-1, node-id=node--1}         : 0,000
producer-node-metrics:request-rate:{client-id=producer-1, node-id=node-1}          : 82,186
producer-node-metrics:request-rate:{client-id=producer-1, node-id=node-3}          : 80,472
producer-node-metrics:request-rate:{client-id=producer-1, node-id=node-6}          : 80,741
producer-node-metrics:request-size-avg:{client-id=producer-1, node-id=node--1}     : NaN
producer-node-metrics:request-size-avg:{client-id=producer-1, node-id=node-1}      : 10147,000
producer-node-metrics:request-size-avg:{client-id=producer-1, node-id=node-3}      : 10144,876
producer-node-metrics:request-size-avg:{client-id=producer-1, node-id=node-6}      : 10147,000
producer-node-metrics:request-size-max:{client-id=producer-1, node-id=node--1}     : NaN
producer-node-metrics:request-size-max:{client-id=producer-1, node-id=node-1}      : 10147,000
producer-node-metrics:request-size-max:{client-id=producer-1, node-id=node-3}      : 10147,000
producer-node-metrics:request-size-max:{client-id=producer-1, node-id=node-6}      : 10147,000
producer-node-metrics:request-total:{client-id=producer-1, node-id=node--1}        : 2,000
producer-node-metrics:request-total:{client-id=producer-1, node-id=node-1}         : 26765,000
producer-node-metrics:request-total:{client-id=producer-1, node-id=node-3}         : 26548,000
producer-node-metrics:request-total:{client-id=producer-1, node-id=node-6}         : 26691,000
producer-node-metrics:response-rate:{client-id=producer-1, node-id=node--1}        : 0,000
producer-node-metrics:response-rate:{client-id=producer-1, node-id=node-1}         : 82,181
producer-node-metrics:response-rate:{client-id=producer-1, node-id=node-3}         : 80,477
producer-node-metrics:response-rate:{client-id=producer-1, node-id=node-6}         : 80,747
producer-node-metrics:response-total:{client-id=producer-1, node-id=node--1}       : 2,000
producer-node-metrics:response-total:{client-id=producer-1, node-id=node-1}        : 26765,000
producer-node-metrics:response-total:{client-id=producer-1, node-id=node-3}        : 26548,000
producer-node-metrics:response-total:{client-id=producer-1, node-id=node-6}        : 26691,000
producer-topic-metrics:byte-rate:{client-id=producer-1, topic=test-topic}          : 2452497,692
producer-topic-metrics:byte-total:{client-id=producer-1, topic=test-topic}         : 806148890,000
producer-topic-metrics:compression-rate:{client-id=producer-1, topic=test-topic}   : 1,000
producer-topic-metrics:record-error-rate:{client-id=producer-1, topic=test-topic}  : 0,000
producer-topic-metrics:record-error-total:{client-id=producer-1, topic=test-topic} : 0,000
producer-topic-metrics:record-retry-rate:{client-id=producer-1, topic=test-topic}  : 0,000
producer-topic-metrics:record-retry-total:{client-id=producer-1, topic=test-topic} : 0,000
producer-topic-metrics:record-send-rate:{client-id=producer-1, topic=test-topic}   : 243,380
producer-topic-metrics:record-send-total:{client-id=producer-1, topic=test-topic}  : 80000,000
Produce Time: 329.368
Aplication time: 330.089
