Topic to send: test-topic
Topic to acks: -1
Records: 80000
Size:30000
456 records sent, 91,1 records/sec (2,61 MB/sec), 10,9 ms avg latency, 277,0 ms max latency.
504 records sent, 100,8 records/sec (2,88 MB/sec), 9,9 ms avg latency, 54,0 ms max latency.
516 records sent, 103,2 records/sec (2,95 MB/sec), 9,7 ms avg latency, 26,0 ms max latency.
520 records sent, 104,0 records/sec (2,97 MB/sec), 9,6 ms avg latency, 10,0 ms max latency.
522 records sent, 104,4 records/sec (2,99 MB/sec), 9,5 ms avg latency, 21,0 ms max latency.
520 records sent, 103,9 records/sec (2,97 MB/sec), 9,6 ms avg latency, 32,0 ms max latency.
518 records sent, 103,5 records/sec (2,96 MB/sec), 9,6 ms avg latency, 67,0 ms max latency.
524 records sent, 104,8 records/sec (3,00 MB/sec), 9,5 ms avg latency, 30,0 ms max latency.
524 records sent, 104,8 records/sec (3,00 MB/sec), 9,5 ms avg latency, 38,0 ms max latency.
524 records sent, 104,8 records/sec (3,00 MB/sec), 9,5 ms avg latency, 42,0 ms max latency.
524 records sent, 104,7 records/sec (2,99 MB/sec), 9,5 ms avg latency, 41,0 ms max latency.
527 records sent, 105,3 records/sec (3,01 MB/sec), 9,5 ms avg latency, 41,0 ms max latency.
529 records sent, 105,6 records/sec (3,02 MB/sec), 9,4 ms avg latency, 24,0 ms max latency.
521 records sent, 104,1 records/sec (2,98 MB/sec), 9,6 ms avg latency, 83,0 ms max latency.
527 records sent, 105,4 records/sec (3,01 MB/sec), 9,5 ms avg latency, 30,0 ms max latency.
526 records sent, 105,1 records/sec (3,01 MB/sec), 9,5 ms avg latency, 22,0 ms max latency.
524 records sent, 104,6 records/sec (2,99 MB/sec), 9,5 ms avg latency, 32,0 ms max latency.
532 records sent, 106,3 records/sec (3,04 MB/sec), 9,4 ms avg latency, 10,0 ms max latency.
533 records sent, 106,6 records/sec (3,05 MB/sec), 9,4 ms avg latency, 10,0 ms max latency.
516 records sent, 103,2 records/sec (2,95 MB/sec), 9,7 ms avg latency, 91,0 ms max latency.
531 records sent, 106,0 records/sec (3,03 MB/sec), 9,4 ms avg latency, 26,0 ms max latency.
526 records sent, 105,2 records/sec (3,01 MB/sec), 9,5 ms avg latency, 68,0 ms max latency.
529 records sent, 105,7 records/sec (3,03 MB/sec), 9,4 ms avg latency, 29,0 ms max latency.
531 records sent, 106,1 records/sec (3,04 MB/sec), 9,4 ms avg latency, 26,0 ms max latency.
530 records sent, 105,9 records/sec (3,03 MB/sec), 9,4 ms avg latency, 36,0 ms max latency.
488 records sent, 97,5 records/sec (2,79 MB/sec), 10,2 ms avg latency, 339,0 ms max latency.
532 records sent, 106,3 records/sec (3,04 MB/sec), 9,4 ms avg latency, 16,0 ms max latency.
529 records sent, 105,6 records/sec (3,02 MB/sec), 9,5 ms avg latency, 35,0 ms max latency.
530 records sent, 105,9 records/sec (3,03 MB/sec), 9,4 ms avg latency, 39,0 ms max latency.
533 records sent, 106,6 records/sec (3,05 MB/sec), 9,4 ms avg latency, 10,0 ms max latency.
529 records sent, 105,8 records/sec (3,03 MB/sec), 9,4 ms avg latency, 30,0 ms max latency.
529 records sent, 105,8 records/sec (3,03 MB/sec), 9,4 ms avg latency, 32,0 ms max latency.
522 records sent, 104,4 records/sec (2,99 MB/sec), 9,6 ms avg latency, 50,0 ms max latency.
515 records sent, 103,0 records/sec (2,95 MB/sec), 9,7 ms avg latency, 139,0 ms max latency.
529 records sent, 105,7 records/sec (3,02 MB/sec), 9,4 ms avg latency, 35,0 ms max latency.
525 records sent, 104,9 records/sec (3,00 MB/sec), 9,5 ms avg latency, 39,0 ms max latency.
529 records sent, 105,7 records/sec (3,02 MB/sec), 9,4 ms avg latency, 39,0 ms max latency.
492 records sent, 98,3 records/sec (2,81 MB/sec), 10,1 ms avg latency, 375,0 ms max latency.
529 records sent, 105,7 records/sec (3,02 MB/sec), 9,4 ms avg latency, 36,0 ms max latency.
529 records sent, 105,7 records/sec (3,02 MB/sec), 9,5 ms avg latency, 34,0 ms max latency.
531 records sent, 106,1 records/sec (3,03 MB/sec), 9,4 ms avg latency, 29,0 ms max latency.
531 records sent, 106,1 records/sec (3,03 MB/sec), 9,4 ms avg latency, 29,0 ms max latency.
530 records sent, 105,9 records/sec (3,03 MB/sec), 9,4 ms avg latency, 40,0 ms max latency.
524 records sent, 104,6 records/sec (2,99 MB/sec), 9,5 ms avg latency, 45,0 ms max latency.
520 records sent, 104,0 records/sec (2,98 MB/sec), 9,6 ms avg latency, 87,0 ms max latency.
533 records sent, 106,4 records/sec (3,04 MB/sec), 9,4 ms avg latency, 10,0 ms max latency.
526 records sent, 105,1 records/sec (3,01 MB/sec), 9,5 ms avg latency, 41,0 ms max latency.
530 records sent, 105,9 records/sec (3,03 MB/sec), 9,4 ms avg latency, 31,0 ms max latency.
530 records sent, 106,0 records/sec (3,03 MB/sec), 9,4 ms avg latency, 27,0 ms max latency.
531 records sent, 106,1 records/sec (3,04 MB/sec), 9,4 ms avg latency, 11,0 ms max latency.
528 records sent, 105,4 records/sec (3,02 MB/sec), 9,5 ms avg latency, 33,0 ms max latency.
526 records sent, 105,1 records/sec (3,01 MB/sec), 9,5 ms avg latency, 62,0 ms max latency.
460 records sent, 92,0 records/sec (2,63 MB/sec), 10,8 ms avg latency, 687,0 ms max latency.
533 records sent, 106,5 records/sec (3,05 MB/sec), 9,4 ms avg latency, 24,0 ms max latency.
534 records sent, 106,6 records/sec (3,05 MB/sec), 9,4 ms avg latency, 10,0 ms max latency.
525 records sent, 104,9 records/sec (3,00 MB/sec), 9,5 ms avg latency, 70,0 ms max latency.
