Topic to send: test-topic
Topic to acks: 0
Records: 80000
Size:30000
1729 records sent, 345,7 records/sec (9,89 MB/sec), 2,8 ms avg latency, 283,0 ms max latency.
1790 records sent, 357,7 records/sec (10,23 MB/sec), 2,8 ms avg latency, 18,0 ms max latency.
1880 records sent, 376,0 records/sec (10,76 MB/sec), 2,6 ms avg latency, 17,0 ms max latency.
1781 records sent, 356,2 records/sec (10,19 MB/sec), 2,8 ms avg latency, 19,0 ms max latency.
1808 records sent, 361,4 records/sec (10,34 MB/sec), 2,8 ms avg latency, 17,0 ms max latency.
1821 records sent, 364,1 records/sec (10,42 MB/sec), 2,7 ms avg latency, 20,0 ms max latency.
1535 records sent, 307,0 records/sec (8,78 MB/sec), 3,2 ms avg latency, 585,0 ms max latency.
1842 records sent, 368,3 records/sec (10,54 MB/sec), 2,7 ms avg latency, 20,0 ms max latency.
1804 records sent, 360,6 records/sec (10,32 MB/sec), 2,8 ms avg latency, 19,0 ms max latency.
1813 records sent, 362,1 records/sec (10,36 MB/sec), 2,8 ms avg latency, 21,0 ms max latency.
1785 records sent, 356,9 records/sec (10,21 MB/sec), 2,8 ms avg latency, 20,0 ms max latency.
1821 records sent, 364,2 records/sec (10,42 MB/sec), 2,7 ms avg latency, 29,0 ms max latency.
1800 records sent, 359,6 records/sec (10,29 MB/sec), 2,8 ms avg latency, 17,0 ms max latency.
1767 records sent, 353,2 records/sec (10,10 MB/sec), 2,8 ms avg latency, 20,0 ms max latency.
1769 records sent, 353,5 records/sec (10,11 MB/sec), 2,8 ms avg latency, 44,0 ms max latency.
1705 records sent, 340,7 records/sec (9,75 MB/sec), 2,9 ms avg latency, 166,0 ms max latency.
1803 records sent, 360,6 records/sec (10,32 MB/sec), 2,8 ms avg latency, 19,0 ms max latency.
1774 records sent, 354,5 records/sec (10,14 MB/sec), 2,8 ms avg latency, 30,0 ms max latency.
1733 records sent, 346,0 records/sec (9,90 MB/sec), 2,9 ms avg latency, 18,0 ms max latency.
1726 records sent, 345,0 records/sec (9,87 MB/sec), 2,9 ms avg latency, 23,0 ms max latency.
1835 records sent, 367,0 records/sec (10,50 MB/sec), 2,7 ms avg latency, 31,0 ms max latency.
1798 records sent, 359,3 records/sec (10,28 MB/sec), 2,8 ms avg latency, 19,0 ms max latency.
1793 records sent, 358,5 records/sec (10,26 MB/sec), 2,8 ms avg latency, 24,0 ms max latency.
1775 records sent, 354,9 records/sec (10,15 MB/sec), 2,8 ms avg latency, 21,0 ms max latency.
1656 records sent, 330,8 records/sec (9,46 MB/sec), 3,0 ms avg latency, 171,0 ms max latency.
1815 records sent, 362,9 records/sec (10,38 MB/sec), 2,7 ms avg latency, 41,0 ms max latency.
1830 records sent, 365,5 records/sec (10,46 MB/sec), 2,7 ms avg latency, 18,0 ms max latency.
1814 records sent, 362,6 records/sec (10,37 MB/sec), 2,7 ms avg latency, 22,0 ms max latency.
1802 records sent, 360,4 records/sec (10,31 MB/sec), 2,8 ms avg latency, 18,0 ms max latency.
1802 records sent, 360,2 records/sec (10,30 MB/sec), 2,8 ms avg latency, 21,0 ms max latency.
1804 records sent, 360,4 records/sec (10,31 MB/sec), 2,8 ms avg latency, 24,0 ms max latency.
1735 records sent, 347,0 records/sec (9,93 MB/sec), 2,9 ms avg latency, 46,0 ms max latency.
1829 records sent, 365,6 records/sec (10,46 MB/sec), 2,7 ms avg latency, 18,0 ms max latency.
1631 records sent, 326,2 records/sec (9,33 MB/sec), 3,0 ms avg latency, 210,0 ms max latency.
1778 records sent, 355,3 records/sec (10,17 MB/sec), 2,8 ms avg latency, 22,0 ms max latency.
1807 records sent, 361,0 records/sec (10,33 MB/sec), 2,8 ms avg latency, 28,0 ms max latency.
1808 records sent, 361,3 records/sec (10,34 MB/sec), 2,8 ms avg latency, 18,0 ms max latency.
1671 records sent, 334,1 records/sec (9,56 MB/sec), 3,0 ms avg latency, 331,0 ms max latency.
1588 records sent, 317,2 records/sec (9,07 MB/sec), 3,1 ms avg latency, 490,0 ms max latency.
1519 records sent, 303,4 records/sec (8,68 MB/sec), 3,3 ms avg latency, 626,0 ms max latency.
1836 records sent, 366,7 records/sec (10,49 MB/sec), 2,7 ms avg latency, 19,0 ms max latency.
1786 records sent, 356,8 records/sec (10,21 MB/sec), 2,8 ms avg latency, 18,0 ms max latency.
1788 records sent, 357,5 records/sec (10,23 MB/sec), 2,8 ms avg latency, 37,0 ms max latency.
1764 records sent, 352,8 records/sec (10,09 MB/sec), 2,8 ms avg latency, 20,0 ms max latency.
1799 records sent, 359,7 records/sec (10,29 MB/sec), 2,8 ms avg latency, 18,0 ms max latency.
80000 records sent, 353,227395 records/sec (10,11 MB/sec), 2,81 ms avg latency, 626,00 ms max latency, 1 ms 50th, 10 ms 95th, 13 ms 99th, 19 ms 99.9th.

Metric Name                                                                          Value
app-info:commit-id:{client-id=producer-1}                                          : d4284cbebb6f0a4c
app-info:start-time-ms:{client-id=producer-1}                                      : 1590122499542
app-info:version:{client-id=producer-1}                                            : 2.3.1
kafka-metrics-count:count:{client-id=producer-1}                                   : 126,000
producer-metrics:batch-size-avg:{client-id=producer-1}                             : 30077,000
producer-metrics:batch-size-max:{client-id=producer-1}                             : 30077,000
producer-metrics:batch-split-rate:{client-id=producer-1}                           : 0,000
producer-metrics:batch-split-total:{client-id=producer-1}                          : 0,000
producer-metrics:buffer-available-bytes:{client-id=producer-1}                     : 33554432,000
producer-metrics:buffer-exhausted-rate:{client-id=producer-1}                      : 0,000
producer-metrics:buffer-exhausted-total:{client-id=producer-1}                     : 0,000
producer-metrics:buffer-total-bytes:{client-id=producer-1}                         : 33554432,000
producer-metrics:bufferpool-wait-ratio:{client-id=producer-1}                      : 0,000
producer-metrics:bufferpool-wait-time-total:{client-id=producer-1}                 : 0,000
producer-metrics:compression-rate-avg:{client-id=producer-1}                       : 1,000
producer-metrics:connection-close-rate:{client-id=producer-1}                      : 0,000
producer-metrics:connection-close-total:{client-id=producer-1}                     : 0,000
producer-metrics:connection-count:{client-id=producer-1}                           : 4,000
producer-metrics:connection-creation-rate:{client-id=producer-1}                   : 0,000
producer-metrics:connection-creation-total:{client-id=producer-1}                  : 4,000
producer-metrics:failed-authentication-rate:{client-id=producer-1}                 : 0,000
producer-metrics:failed-authentication-total:{client-id=producer-1}                : 0,000
producer-metrics:failed-reauthentication-rate:{client-id=producer-1}               : 0,000
producer-metrics:failed-reauthentication-total:{client-id=producer-1}              : 0,000
producer-metrics:incoming-byte-rate:{client-id=producer-1}                         : 0,000
producer-metrics:incoming-byte-total:{client-id=producer-1}                        : 1461,000
producer-metrics:io-ratio:{client-id=producer-1}                                   : 0,013
producer-metrics:io-time-ns-avg:{client-id=producer-1}                             : 15291,703
producer-metrics:io-wait-ratio:{client-id=producer-1}                              : 0,950
producer-metrics:io-wait-time-ns-avg:{client-id=producer-1}                        : 1145510,458
producer-metrics:io-waittime-total:{client-id=producer-1}                          : 214072178969,000
producer-metrics:iotime-total:{client-id=producer-1}                               : 3137840216,000
producer-metrics:metadata-age:{client-id=producer-1}                               : 226,315
producer-metrics:network-io-rate:{client-id=producer-1}                            : 345,172
producer-metrics:network-io-total:{client-id=producer-1}                           : 80010,000
producer-metrics:outgoing-byte-rate:{client-id=producer-1}                         : 10406784,757
producer-metrics:outgoing-byte-total:{client-id=producer-1}                        : 2411749029,000
producer-metrics:produce-throttle-time-avg:{client-id=producer-1}                  : NaN
producer-metrics:produce-throttle-time-max:{client-id=producer-1}                  : NaN
producer-metrics:reauthentication-latency-avg:{client-id=producer-1}               : NaN
producer-metrics:reauthentication-latency-max:{client-id=producer-1}               : NaN
producer-metrics:record-error-rate:{client-id=producer-1}                          : 0,000
producer-metrics:record-error-total:{client-id=producer-1}                         : 0,000
producer-metrics:record-queue-time-avg:{client-id=producer-1}                      : 0,026
producer-metrics:record-queue-time-max:{client-id=producer-1}                      : 1,000
producer-metrics:record-retry-rate:{client-id=producer-1}                          : 0,000
producer-metrics:record-retry-total:{client-id=producer-1}                         : 0,000
producer-metrics:record-send-rate:{client-id=producer-1}                           : 345,335
producer-metrics:record-send-total:{client-id=producer-1}                          : 80000,000
producer-metrics:record-size-avg:{client-id=producer-1}                            : 30092,000
producer-metrics:record-size-max:{client-id=producer-1}                            : 30092,000
producer-metrics:records-per-request-avg:{client-id=producer-1}                    : 1,000
producer-metrics:request-latency-avg:{client-id=producer-1}                        : NaN
producer-metrics:request-latency-max:{client-id=producer-1}                        : NaN
producer-metrics:request-rate:{client-id=producer-1}                               : 345,179
producer-metrics:request-size-avg:{client-id=producer-1}                           : 30147,000
producer-metrics:request-size-max:{client-id=producer-1}                           : 30147,000
producer-metrics:request-total:{client-id=producer-1}                              : 80005,000
producer-metrics:requests-in-flight:{client-id=producer-1}                         : 0,000
producer-metrics:response-rate:{client-id=producer-1}                              : 0,000
producer-metrics:response-total:{client-id=producer-1}                             : 5,000
producer-metrics:select-rate:{client-id=producer-1}                                : 829,703
producer-metrics:select-total:{client-id=producer-1}                               : 192109,000
producer-metrics:successful-authentication-no-reauth-total:{client-id=producer-1}  : 0,000
producer-metrics:successful-authentication-rate:{client-id=producer-1}             : 0,000
producer-metrics:successful-authentication-total:{client-id=producer-1}            : 0,000
producer-metrics:successful-reauthentication-rate:{client-id=producer-1}           : 0,000
producer-metrics:successful-reauthentication-total:{client-id=producer-1}          : 0,000
producer-metrics:waiting-threads:{client-id=producer-1}                            : 0,000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node--3}   : 0,000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-1}    : 0,000
