Topic to send: test-topic
Topic to acks: 0
Records: 80000
Size:30000
1729 records sent, 345,5 records/sec (9,89 MB/sec), 2,9 ms avg latency, 275,0 ms max latency.
1812 records sent, 362,4 records/sec (10,37 MB/sec), 2,7 ms avg latency, 17,0 ms max latency.
1753 records sent, 350,6 records/sec (10,03 MB/sec), 2,8 ms avg latency, 17,0 ms max latency.
1810 records sent, 361,6 records/sec (10,35 MB/sec), 2,7 ms avg latency, 26,0 ms max latency.
1807 records sent, 361,2 records/sec (10,33 MB/sec), 2,7 ms avg latency, 21,0 ms max latency.
1845 records sent, 368,9 records/sec (10,56 MB/sec), 2,7 ms avg latency, 19,0 ms max latency.
1802 records sent, 360,2 records/sec (10,30 MB/sec), 2,8 ms avg latency, 23,0 ms max latency.
1646 records sent, 329,2 records/sec (9,42 MB/sec), 3,0 ms avg latency, 435,0 ms max latency.
1793 records sent, 358,6 records/sec (10,26 MB/sec), 2,8 ms avg latency, 22,0 ms max latency.
1807 records sent, 361,3 records/sec (10,34 MB/sec), 2,7 ms avg latency, 19,0 ms max latency.
1812 records sent, 361,7 records/sec (10,35 MB/sec), 2,8 ms avg latency, 25,0 ms max latency.
1787 records sent, 357,4 records/sec (10,23 MB/sec), 2,8 ms avg latency, 22,0 ms max latency.
1827 records sent, 364,7 records/sec (10,43 MB/sec), 2,7 ms avg latency, 18,0 ms max latency.
1787 records sent, 357,3 records/sec (10,22 MB/sec), 2,8 ms avg latency, 18,0 ms max latency.
1633 records sent, 326,3 records/sec (9,34 MB/sec), 3,0 ms avg latency, 308,0 ms max latency.
1816 records sent, 363,2 records/sec (10,39 MB/sec), 2,7 ms avg latency, 17,0 ms max latency.
1808 records sent, 361,6 records/sec (10,35 MB/sec), 2,8 ms avg latency, 15,0 ms max latency.
1792 records sent, 358,4 records/sec (10,25 MB/sec), 2,8 ms avg latency, 22,0 ms max latency.
1802 records sent, 360,3 records/sec (10,31 MB/sec), 2,8 ms avg latency, 40,0 ms max latency.
1818 records sent, 363,0 records/sec (10,39 MB/sec), 2,7 ms avg latency, 18,0 ms max latency.
1730 records sent, 345,7 records/sec (9,89 MB/sec), 2,9 ms avg latency, 25,0 ms max latency.
1823 records sent, 364,5 records/sec (10,43 MB/sec), 2,7 ms avg latency, 19,0 ms max latency.
1823 records sent, 364,6 records/sec (10,43 MB/sec), 2,7 ms avg latency, 19,0 ms max latency.
1772 records sent, 354,3 records/sec (10,14 MB/sec), 2,8 ms avg latency, 19,0 ms max latency.
1769 records sent, 353,8 records/sec (10,12 MB/sec), 2,8 ms avg latency, 22,0 ms max latency.
1843 records sent, 368,5 records/sec (10,54 MB/sec), 2,7 ms avg latency, 20,0 ms max latency.
1811 records sent, 361,9 records/sec (10,35 MB/sec), 2,7 ms avg latency, 22,0 ms max latency.
1806 records sent, 360,8 records/sec (10,32 MB/sec), 2,8 ms avg latency, 43,0 ms max latency.
1768 records sent, 353,4 records/sec (10,11 MB/sec), 2,8 ms avg latency, 21,0 ms max latency.
1777 records sent, 354,7 records/sec (10,15 MB/sec), 2,8 ms avg latency, 29,0 ms max latency.
1783 records sent, 356,2 records/sec (10,19 MB/sec), 2,8 ms avg latency, 26,0 ms max latency.
1769 records sent, 353,7 records/sec (10,12 MB/sec), 2,8 ms avg latency, 22,0 ms max latency.
1829 records sent, 365,4 records/sec (10,45 MB/sec), 2,7 ms avg latency, 18,0 ms max latency.
1781 records sent, 356,1 records/sec (10,19 MB/sec), 2,8 ms avg latency, 22,0 ms max latency.
1791 records sent, 357,6 records/sec (10,23 MB/sec), 2,8 ms avg latency, 45,0 ms max latency.
1857 records sent, 371,2 records/sec (10,62 MB/sec), 2,7 ms avg latency, 18,0 ms max latency.
1827 records sent, 365,1 records/sec (10,45 MB/sec), 2,7 ms avg latency, 17,0 ms max latency.
1777 records sent, 355,0 records/sec (10,16 MB/sec), 2,8 ms avg latency, 18,0 ms max latency.
1786 records sent, 356,9 records/sec (10,21 MB/sec), 2,8 ms avg latency, 21,0 ms max latency.
1770 records sent, 353,7 records/sec (10,12 MB/sec), 2,8 ms avg latency, 18,0 ms max latency.
1821 records sent, 364,2 records/sec (10,42 MB/sec), 2,7 ms avg latency, 17,0 ms max latency.
1749 records sent, 349,4 records/sec (10,00 MB/sec), 2,9 ms avg latency, 45,0 ms max latency.
1832 records sent, 366,3 records/sec (10,48 MB/sec), 2,7 ms avg latency, 22,0 ms max latency.
1767 records sent, 352,7 records/sec (10,09 MB/sec), 2,8 ms avg latency, 23,0 ms max latency.
80000 records sent, 357,623414 records/sec (10,23 MB/sec), 2,78 ms avg latency, 435,00 ms max latency, 1 ms 50th, 9 ms 95th, 13 ms 99th, 19 ms 99.9th.

Metric Name                                                                          Value
app-info:commit-id:{client-id=producer-1}                                          : d4284cbebb6f0a4c
app-info:start-time-ms:{client-id=producer-1}                                      : 1590125308321
app-info:version:{client-id=producer-1}                                            : 2.3.1
kafka-metrics-count:count:{client-id=producer-1}                                   : 126,000
producer-metrics:batch-size-avg:{client-id=producer-1}                             : 30077,000
producer-metrics:batch-size-max:{client-id=producer-1}                             : 30077,000
producer-metrics:batch-split-rate:{client-id=producer-1}                           : 0,000
producer-metrics:batch-split-total:{client-id=producer-1}                          : 0,000
producer-metrics:buffer-available-bytes:{client-id=producer-1}                     : 33554432,000
producer-metrics:buffer-exhausted-rate:{client-id=producer-1}                      : 0,000
producer-metrics:buffer-exhausted-total:{client-id=producer-1}                     : 0,000
producer-metrics:buffer-total-bytes:{client-id=producer-1}                         : 33554432,000
producer-metrics:bufferpool-wait-ratio:{client-id=producer-1}                      : 0,000
producer-metrics:bufferpool-wait-time-total:{client-id=producer-1}                 : 0,000
producer-metrics:compression-rate-avg:{client-id=producer-1}                       : 1,000
producer-metrics:connection-close-rate:{client-id=producer-1}                      : 0,000
producer-metrics:connection-close-total:{client-id=producer-1}                     : 0,000
producer-metrics:connection-count:{client-id=producer-1}                           : 4,000
producer-metrics:connection-creation-rate:{client-id=producer-1}                   : 0,000
producer-metrics:connection-creation-total:{client-id=producer-1}                  : 4,000
producer-metrics:failed-authentication-rate:{client-id=producer-1}                 : 0,000
producer-metrics:failed-authentication-total:{client-id=producer-1}                : 0,000
producer-metrics:failed-reauthentication-rate:{client-id=producer-1}               : 0,000
producer-metrics:failed-reauthentication-total:{client-id=producer-1}              : 0,000
producer-metrics:incoming-byte-rate:{client-id=producer-1}                         : 0,000
producer-metrics:incoming-byte-total:{client-id=producer-1}                        : 1461,000
producer-metrics:io-ratio:{client-id=producer-1}                                   : 0,013
producer-metrics:io-time-ns-avg:{client-id=producer-1}                             : 14760,392
producer-metrics:io-wait-ratio:{client-id=producer-1}                              : 0,953
producer-metrics:io-wait-time-ns-avg:{client-id=producer-1}                        : 1108593,608
producer-metrics:io-waittime-total:{client-id=producer-1}                          : 211814603784,000
producer-metrics:iotime-total:{client-id=producer-1}                               : 3078273404,000
producer-metrics:metadata-age:{client-id=producer-1}                               : 223,525
producer-metrics:network-io-rate:{client-id=producer-1}                            : 357,337
producer-metrics:network-io-total:{client-id=producer-1}                           : 80010,000
producer-metrics:outgoing-byte-rate:{client-id=producer-1}                         : 10773366,667
producer-metrics:outgoing-byte-total:{client-id=producer-1}                        : 2411749029,000
producer-metrics:produce-throttle-time-avg:{client-id=producer-1}                  : NaN
producer-metrics:produce-throttle-time-max:{client-id=producer-1}                  : NaN
producer-metrics:reauthentication-latency-avg:{client-id=producer-1}               : NaN
producer-metrics:reauthentication-latency-max:{client-id=producer-1}               : NaN
producer-metrics:record-error-rate:{client-id=producer-1}                          : 0,000
producer-metrics:record-error-total:{client-id=producer-1}                         : 0,000
producer-metrics:record-queue-time-avg:{client-id=producer-1}                      : 0,028
producer-metrics:record-queue-time-max:{client-id=producer-1}                      : 1,000
producer-metrics:record-retry-rate:{client-id=producer-1}                          : 0,000
producer-metrics:record-retry-total:{client-id=producer-1}                         : 0,000
producer-metrics:record-send-rate:{client-id=producer-1}                           : 357,273
producer-metrics:record-send-total:{client-id=producer-1}                          : 80000,000
producer-metrics:record-size-avg:{client-id=producer-1}                            : 30092,000
producer-metrics:record-size-max:{client-id=producer-1}                            : 30092,000
producer-metrics:records-per-request-avg:{client-id=producer-1}                    : 1,000
producer-metrics:request-latency-avg:{client-id=producer-1}                        : NaN
producer-metrics:request-latency-max:{client-id=producer-1}                        : NaN
producer-metrics:request-rate:{client-id=producer-1}                               : 357,337
producer-metrics:request-size-avg:{client-id=producer-1}                           : 30147,000
producer-metrics:request-size-max:{client-id=producer-1}                           : 30147,000
producer-metrics:request-total:{client-id=producer-1}                              : 80005,000
producer-metrics:requests-in-flight:{client-id=producer-1}                         : 0,000
producer-metrics:response-rate:{client-id=producer-1}                              : 0,000
producer-metrics:response-total:{client-id=producer-1}                             : 5,000
producer-metrics:select-rate:{client-id=producer-1}                                : 859,500
producer-metrics:select-total:{client-id=producer-1}                               : 191850,000
producer-metrics:successful-authentication-no-reauth-total:{client-id=producer-1}  : 0,000
producer-metrics:successful-authentication-rate:{client-id=producer-1}             : 0,000
producer-metrics:successful-authentication-total:{client-id=producer-1}            : 0,000
producer-metrics:successful-reauthentication-rate:{client-id=producer-1}           : 0,000
producer-metrics:successful-reauthentication-total:{client-id=producer-1}          : 0,000
producer-metrics:waiting-threads:{client-id=producer-1}                            : 0,000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node--3}   : 0,000
