Topic to send: test-topic
Topic to acks: 1
Records: 80000
Size:10000
1347 records sent, 269,3 records/sec (2,57 MB/sec), 3,7 ms avg latency, 275,0 ms max latency.
1559 records sent, 311,8 records/sec (2,97 MB/sec), 3,2 ms avg latency, 18,0 ms max latency.
1608 records sent, 321,6 records/sec (3,07 MB/sec), 3,1 ms avg latency, 5,0 ms max latency.
1563 records sent, 312,5 records/sec (2,98 MB/sec), 3,2 ms avg latency, 20,0 ms max latency.
1610 records sent, 321,9 records/sec (3,07 MB/sec), 3,1 ms avg latency, 21,0 ms max latency.
1581 records sent, 316,1 records/sec (3,01 MB/sec), 3,1 ms avg latency, 4,0 ms max latency.
1560 records sent, 311,9 records/sec (2,97 MB/sec), 3,2 ms avg latency, 79,0 ms max latency.
1610 records sent, 322,0 records/sec (3,07 MB/sec), 3,1 ms avg latency, 23,0 ms max latency.
1613 records sent, 322,6 records/sec (3,08 MB/sec), 3,1 ms avg latency, 15,0 ms max latency.
1628 records sent, 325,6 records/sec (3,11 MB/sec), 3,1 ms avg latency, 15,0 ms max latency.
1604 records sent, 320,7 records/sec (3,06 MB/sec), 3,1 ms avg latency, 22,0 ms max latency.
1600 records sent, 319,9 records/sec (3,05 MB/sec), 3,1 ms avg latency, 14,0 ms max latency.
1575 records sent, 315,0 records/sec (3,00 MB/sec), 3,2 ms avg latency, 140,0 ms max latency.
1574 records sent, 314,7 records/sec (3,00 MB/sec), 3,2 ms avg latency, 84,0 ms max latency.
1642 records sent, 328,2 records/sec (3,13 MB/sec), 3,0 ms avg latency, 26,0 ms max latency.
1613 records sent, 322,5 records/sec (3,08 MB/sec), 3,1 ms avg latency, 21,0 ms max latency.
1696 records sent, 339,1 records/sec (3,23 MB/sec), 2,9 ms avg latency, 31,0 ms max latency.
1674 records sent, 334,8 records/sec (3,19 MB/sec), 3,0 ms avg latency, 14,0 ms max latency.
1615 records sent, 322,9 records/sec (3,08 MB/sec), 3,1 ms avg latency, 118,0 ms max latency.
1603 records sent, 320,6 records/sec (3,06 MB/sec), 3,1 ms avg latency, 56,0 ms max latency.
1622 records sent, 324,3 records/sec (3,09 MB/sec), 3,1 ms avg latency, 37,0 ms max latency.
1628 records sent, 325,6 records/sec (3,11 MB/sec), 3,1 ms avg latency, 15,0 ms max latency.
1615 records sent, 323,0 records/sec (3,08 MB/sec), 3,1 ms avg latency, 22,0 ms max latency.
1557 records sent, 311,4 records/sec (2,97 MB/sec), 3,2 ms avg latency, 177,0 ms max latency.
1563 records sent, 312,5 records/sec (2,98 MB/sec), 3,2 ms avg latency, 282,0 ms max latency.
1655 records sent, 330,9 records/sec (3,16 MB/sec), 3,0 ms avg latency, 31,0 ms max latency.
1651 records sent, 330,1 records/sec (3,15 MB/sec), 3,0 ms avg latency, 21,0 ms max latency.
1691 records sent, 338,1 records/sec (3,22 MB/sec), 2,9 ms avg latency, 8,0 ms max latency.
1591 records sent, 318,2 records/sec (3,03 MB/sec), 3,1 ms avg latency, 133,0 ms max latency.
1647 records sent, 329,3 records/sec (3,14 MB/sec), 3,0 ms avg latency, 23,0 ms max latency.
1634 records sent, 326,7 records/sec (3,12 MB/sec), 3,0 ms avg latency, 4,0 ms max latency.
1605 records sent, 321,0 records/sec (3,06 MB/sec), 3,1 ms avg latency, 139,0 ms max latency.
1567 records sent, 313,4 records/sec (2,99 MB/sec), 3,2 ms avg latency, 28,0 ms max latency.
1617 records sent, 323,4 records/sec (3,08 MB/sec), 3,1 ms avg latency, 5,0 ms max latency.
1643 records sent, 328,5 records/sec (3,13 MB/sec), 3,0 ms avg latency, 5,0 ms max latency.
1643 records sent, 328,5 records/sec (3,13 MB/sec), 3,0 ms avg latency, 24,0 ms max latency.
1623 records sent, 324,5 records/sec (3,09 MB/sec), 3,1 ms avg latency, 27,0 ms max latency.
1595 records sent, 319,0 records/sec (3,04 MB/sec), 3,1 ms avg latency, 150,0 ms max latency.
1631 records sent, 326,2 records/sec (3,11 MB/sec), 3,0 ms avg latency, 23,0 ms max latency.
1622 records sent, 324,3 records/sec (3,09 MB/sec), 3,1 ms avg latency, 21,0 ms max latency.
1639 records sent, 327,7 records/sec (3,13 MB/sec), 3,0 ms avg latency, 32,0 ms max latency.
1624 records sent, 324,7 records/sec (3,10 MB/sec), 3,1 ms avg latency, 5,0 ms max latency.
1631 records sent, 326,1 records/sec (3,11 MB/sec), 3,1 ms avg latency, 19,0 ms max latency.
1658 records sent, 331,5 records/sec (3,16 MB/sec), 3,0 ms avg latency, 16,0 ms max latency.
1625 records sent, 324,9 records/sec (3,10 MB/sec), 3,1 ms avg latency, 40,0 ms max latency.
1607 records sent, 321,3 records/sec (3,06 MB/sec), 3,1 ms avg latency, 44,0 ms max latency.
1590 records sent, 317,9 records/sec (3,03 MB/sec), 3,1 ms avg latency, 102,0 ms max latency.
1639 records sent, 327,7 records/sec (3,12 MB/sec), 3,0 ms avg latency, 4,0 ms max latency.
1575 records sent, 314,9 records/sec (3,00 MB/sec), 3,2 ms avg latency, 261,0 ms max latency.
80000 records sent, 321,815037 records/sec (3,07 MB/sec), 3,09 ms avg latency, 282,00 ms max latency, 3 ms 50th, 4 ms 95th, 4 ms 99th, 13 ms 99.9th.

Metric Name                                                                          Value
app-info:commit-id:{client-id=producer-1}                                          : d4284cbebb6f0a4c
app-info:start-time-ms:{client-id=producer-1}                                      : 1590036677355
app-info:version:{client-id=producer-1}                                            : 2.3.1
kafka-metrics-count:count:{client-id=producer-1}                                   : 126,000
producer-metrics:batch-size-avg:{client-id=producer-1}                             : 10077,000
producer-metrics:batch-size-max:{client-id=producer-1}                             : 10077,000
producer-metrics:batch-split-rate:{client-id=producer-1}                           : 0,000
producer-metrics:batch-split-total:{client-id=producer-1}                          : 0,000
producer-metrics:buffer-available-bytes:{client-id=producer-1}                     : 33554432,000
producer-metrics:buffer-exhausted-rate:{client-id=producer-1}                      : 0,000
producer-metrics:buffer-exhausted-total:{client-id=producer-1}                     : 0,000
producer-metrics:buffer-total-bytes:{client-id=producer-1}                         : 33554432,000
producer-metrics:bufferpool-wait-ratio:{client-id=producer-1}                      : 0,000
producer-metrics:bufferpool-wait-time-total:{client-id=producer-1}                 : 0,000
producer-metrics:compression-rate-avg:{client-id=producer-1}                       : 1,000
producer-metrics:connection-close-rate:{client-id=producer-1}                      : 0,000
producer-metrics:connection-close-total:{client-id=producer-1}                     : 0,000
producer-metrics:connection-count:{client-id=producer-1}                           : 4,000
producer-metrics:connection-creation-rate:{client-id=producer-1}                   : 0,000
producer-metrics:connection-creation-total:{client-id=producer-1}                  : 4,000
producer-metrics:failed-authentication-rate:{client-id=producer-1}                 : 0,000
producer-metrics:failed-authentication-total:{client-id=producer-1}                : 0,000
producer-metrics:failed-reauthentication-rate:{client-id=producer-1}               : 0,000
producer-metrics:failed-reauthentication-total:{client-id=producer-1}              : 0,000
producer-metrics:incoming-byte-rate:{client-id=producer-1}                         : 20048,001
producer-metrics:incoming-byte-total:{client-id=producer-1}                        : 4961461,000
producer-metrics:io-ratio:{client-id=producer-1}                                   : 0,018
producer-metrics:io-time-ns-avg:{client-id=producer-1}                             : 18227,526
producer-metrics:io-wait-ratio:{client-id=producer-1}                              : 0,957
producer-metrics:io-wait-time-ns-avg:{client-id=producer-1}                        : 986292,659
producer-metrics:io-waittime-total:{client-id=producer-1}                          : 236647190769,000
producer-metrics:iotime-total:{client-id=producer-1}                               : 4730211378,000
producer-metrics:metadata-age:{client-id=producer-1}                               : 248,414
producer-metrics:network-io-rate:{client-id=producer-1}                            : 646,668
producer-metrics:network-io-total:{client-id=producer-1}                           : 160010,000
producer-metrics:outgoing-byte-rate:{client-id=producer-1}                         : 3280996,278
producer-metrics:outgoing-byte-total:{client-id=producer-1}                        : 811749029,000
producer-metrics:produce-throttle-time-avg:{client-id=producer-1}                  : 0,000
producer-metrics:produce-throttle-time-max:{client-id=producer-1}                  : 0,000
producer-metrics:reauthentication-latency-avg:{client-id=producer-1}               : NaN
producer-metrics:reauthentication-latency-max:{client-id=producer-1}               : NaN
producer-metrics:record-error-rate:{client-id=producer-1}                          : 0,000
producer-metrics:record-error-total:{client-id=producer-1}                         : 0,000
producer-metrics:record-queue-time-avg:{client-id=producer-1}                      : 0,026
producer-metrics:record-queue-time-max:{client-id=producer-1}                      : 1,000
producer-metrics:record-retry-rate:{client-id=producer-1}                          : 0,000
producer-metrics:record-retry-total:{client-id=producer-1}                         : 0,000
producer-metrics:record-send-rate:{client-id=producer-1}                           : 323,348
producer-metrics:record-send-total:{client-id=producer-1}                          : 80000,000
producer-metrics:record-size-avg:{client-id=producer-1}                            : 10092,000
producer-metrics:record-size-max:{client-id=producer-1}                            : 10092,000
producer-metrics:records-per-request-avg:{client-id=producer-1}                    : 1,000
producer-metrics:request-latency-avg:{client-id=producer-1}                        : 3,038
producer-metrics:request-latency-max:{client-id=producer-1}                        : 261,000
producer-metrics:request-rate:{client-id=producer-1}                               : 323,330
producer-metrics:request-size-avg:{client-id=producer-1}                           : 10147,000
producer-metrics:request-size-max:{client-id=producer-1}                           : 10147,000
producer-metrics:request-total:{client-id=producer-1}                              : 80005,000
producer-metrics:requests-in-flight:{client-id=producer-1}                         : 0,000
producer-metrics:response-rate:{client-id=producer-1}                              : 323,346
producer-metrics:response-total:{client-id=producer-1}                             : 80005,000
producer-metrics:select-rate:{client-id=producer-1}                                : 969,922
producer-metrics:select-total:{client-id=producer-1}                               : 239681,000
producer-metrics:successful-authentication-no-reauth-total:{client-id=producer-1}  : 0,000
producer-metrics:successful-authentication-rate:{client-id=producer-1}             : 0,000
producer-metrics:successful-authentication-total:{client-id=producer-1}            : 0,000
producer-metrics:successful-reauthentication-rate:{client-id=producer-1}           : 0,000
producer-metrics:successful-reauthentication-total:{client-id=producer-1}          : 0,000
producer-metrics:waiting-threads:{client-id=producer-1}                            : 0,000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node--1}   : 0,000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-1}    : 6798,579
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-3}    : 6610,294
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-6}    : 6646,734
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node--1}  : 579,000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-1}   : 1659662,000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-3}   : 1646146,000
