Topic to send: test-topic
Topic to acks: 1
Records: 80000
Size:10000
1294 records sent, 258,6 records/sec (2,47 MB/sec), 3,8 ms avg latency, 279,0 ms max latency.
1442 records sent, 288,3 records/sec (2,75 MB/sec), 3,4 ms avg latency, 31,0 ms max latency.
1476 records sent, 295,2 records/sec (2,82 MB/sec), 3,4 ms avg latency, 31,0 ms max latency.
1490 records sent, 297,9 records/sec (2,84 MB/sec), 3,3 ms avg latency, 14,0 ms max latency.
1514 records sent, 302,7 records/sec (2,89 MB/sec), 3,3 ms avg latency, 35,0 ms max latency.
1532 records sent, 306,3 records/sec (2,92 MB/sec), 3,2 ms avg latency, 14,0 ms max latency.
1288 records sent, 257,5 records/sec (2,46 MB/sec), 3,9 ms avg latency, 669,0 ms max latency.
1540 records sent, 307,9 records/sec (2,94 MB/sec), 3,2 ms avg latency, 14,0 ms max latency.
1534 records sent, 306,7 records/sec (2,92 MB/sec), 3,2 ms avg latency, 19,0 ms max latency.
1527 records sent, 305,3 records/sec (2,91 MB/sec), 3,3 ms avg latency, 5,0 ms max latency.
1509 records sent, 301,7 records/sec (2,88 MB/sec), 3,3 ms avg latency, 27,0 ms max latency.
1526 records sent, 305,1 records/sec (2,91 MB/sec), 3,3 ms avg latency, 36,0 ms max latency.
1524 records sent, 304,8 records/sec (2,91 MB/sec), 3,3 ms avg latency, 87,0 ms max latency.
1527 records sent, 305,4 records/sec (2,91 MB/sec), 3,3 ms avg latency, 9,0 ms max latency.
1524 records sent, 304,7 records/sec (2,91 MB/sec), 3,3 ms avg latency, 34,0 ms max latency.
1496 records sent, 299,2 records/sec (2,85 MB/sec), 3,3 ms avg latency, 15,0 ms max latency.
1505 records sent, 300,9 records/sec (2,87 MB/sec), 3,3 ms avg latency, 26,0 ms max latency.
1553 records sent, 310,5 records/sec (2,96 MB/sec), 3,2 ms avg latency, 13,0 ms max latency.
1527 records sent, 305,3 records/sec (2,91 MB/sec), 3,3 ms avg latency, 22,0 ms max latency.
1516 records sent, 303,1 records/sec (2,89 MB/sec), 3,3 ms avg latency, 64,0 ms max latency.
1561 records sent, 312,1 records/sec (2,98 MB/sec), 3,2 ms avg latency, 38,0 ms max latency.
1565 records sent, 312,8 records/sec (2,98 MB/sec), 3,2 ms avg latency, 15,0 ms max latency.
1505 records sent, 300,9 records/sec (2,87 MB/sec), 3,3 ms avg latency, 41,0 ms max latency.
1493 records sent, 298,6 records/sec (2,85 MB/sec), 3,3 ms avg latency, 45,0 ms max latency.
1560 records sent, 311,9 records/sec (2,97 MB/sec), 3,2 ms avg latency, 10,0 ms max latency.
1522 records sent, 304,3 records/sec (2,90 MB/sec), 3,3 ms avg latency, 30,0 ms max latency.
1520 records sent, 303,9 records/sec (2,90 MB/sec), 3,3 ms avg latency, 7,0 ms max latency.
1535 records sent, 306,9 records/sec (2,93 MB/sec), 3,2 ms avg latency, 29,0 ms max latency.
1522 records sent, 304,4 records/sec (2,90 MB/sec), 3,3 ms avg latency, 5,0 ms max latency.
1522 records sent, 304,4 records/sec (2,90 MB/sec), 3,3 ms avg latency, 36,0 ms max latency.
1512 records sent, 302,3 records/sec (2,88 MB/sec), 3,3 ms avg latency, 63,0 ms max latency.
1505 records sent, 301,0 records/sec (2,87 MB/sec), 3,3 ms avg latency, 58,0 ms max latency.
1534 records sent, 306,8 records/sec (2,93 MB/sec), 3,2 ms avg latency, 31,0 ms max latency.
1550 records sent, 309,9 records/sec (2,96 MB/sec), 3,2 ms avg latency, 5,0 ms max latency.
1523 records sent, 304,5 records/sec (2,90 MB/sec), 3,3 ms avg latency, 31,0 ms max latency.
1531 records sent, 306,2 records/sec (2,92 MB/sec), 3,3 ms avg latency, 7,0 ms max latency.
1540 records sent, 308,0 records/sec (2,94 MB/sec), 3,2 ms avg latency, 5,0 ms max latency.
1501 records sent, 300,1 records/sec (2,86 MB/sec), 3,3 ms avg latency, 125,0 ms max latency.
1521 records sent, 304,2 records/sec (2,90 MB/sec), 3,3 ms avg latency, 34,0 ms max latency.
1528 records sent, 305,5 records/sec (2,91 MB/sec), 3,3 ms avg latency, 37,0 ms max latency.
1540 records sent, 308,0 records/sec (2,94 MB/sec), 3,2 ms avg latency, 22,0 ms max latency.
1538 records sent, 307,5 records/sec (2,93 MB/sec), 3,2 ms avg latency, 5,0 ms max latency.
1519 records sent, 303,7 records/sec (2,90 MB/sec), 3,3 ms avg latency, 27,0 ms max latency.
1516 records sent, 303,1 records/sec (2,89 MB/sec), 3,3 ms avg latency, 5,0 ms max latency.
1540 records sent, 308,0 records/sec (2,94 MB/sec), 3,2 ms avg latency, 30,0 ms max latency.
1536 records sent, 307,2 records/sec (2,93 MB/sec), 3,2 ms avg latency, 5,0 ms max latency.
1562 records sent, 312,3 records/sec (2,98 MB/sec), 3,2 ms avg latency, 36,0 ms max latency.
1535 records sent, 307,0 records/sec (2,93 MB/sec), 3,2 ms avg latency, 35,0 ms max latency.
1545 records sent, 308,9 records/sec (2,95 MB/sec), 3,2 ms avg latency, 5,0 ms max latency.
1550 records sent, 309,9 records/sec (2,96 MB/sec), 3,2 ms avg latency, 18,0 ms max latency.
1528 records sent, 305,6 records/sec (2,91 MB/sec), 3,3 ms avg latency, 94,0 ms max latency.
1562 records sent, 312,4 records/sec (2,98 MB/sec), 3,2 ms avg latency, 5,0 ms max latency.
80000 records sent, 303,347439 records/sec (2,89 MB/sec), 3,28 ms avg latency, 669,00 ms max latency, 3 ms 50th, 4 ms 95th, 5 ms 99th, 8 ms 99.9th.

Metric Name                                                                          Value
app-info:commit-id:{client-id=producer-1}                                          : d4284cbebb6f0a4c
app-info:start-time-ms:{client-id=producer-1}                                      : 1591586886379
app-info:version:{client-id=producer-1}                                            : 2.3.1
kafka-metrics-count:count:{client-id=producer-1}                                   : 126,000
producer-metrics:batch-size-avg:{client-id=producer-1}                             : 10077,000
producer-metrics:batch-size-max:{client-id=producer-1}                             : 10077,000
producer-metrics:batch-split-rate:{client-id=producer-1}                           : 0,000
producer-metrics:batch-split-total:{client-id=producer-1}                          : 0,000
producer-metrics:buffer-available-bytes:{client-id=producer-1}                     : 33554432,000
producer-metrics:buffer-exhausted-rate:{client-id=producer-1}                      : 0,000
producer-metrics:buffer-exhausted-total:{client-id=producer-1}                     : 0,000
producer-metrics:buffer-total-bytes:{client-id=producer-1}                         : 33554432,000
producer-metrics:bufferpool-wait-ratio:{client-id=producer-1}                      : 0,000
producer-metrics:bufferpool-wait-time-total:{client-id=producer-1}                 : 0,000
producer-metrics:compression-rate-avg:{client-id=producer-1}                       : 1,000
producer-metrics:connection-close-rate:{client-id=producer-1}                      : 0,000
producer-metrics:connection-close-total:{client-id=producer-1}                     : 0,000
producer-metrics:connection-count:{client-id=producer-1}                           : 4,000
producer-metrics:connection-creation-rate:{client-id=producer-1}                   : 0,000
producer-metrics:connection-creation-total:{client-id=producer-1}                  : 4,000
producer-metrics:failed-authentication-rate:{client-id=producer-1}                 : 0,000
producer-metrics:failed-authentication-total:{client-id=producer-1}                : 0,000
producer-metrics:failed-reauthentication-rate:{client-id=producer-1}               : 0,000
producer-metrics:failed-reauthentication-total:{client-id=producer-1}              : 0,000
producer-metrics:incoming-byte-rate:{client-id=producer-1}                         : 19098,747
producer-metrics:incoming-byte-total:{client-id=producer-1}                        : 4961461,000
producer-metrics:io-ratio:{client-id=producer-1}                                   : 0,016
producer-metrics:io-time-ns-avg:{client-id=producer-1}                             : 17586,700
producer-metrics:io-wait-ratio:{client-id=producer-1}                              : 0,961
producer-metrics:io-wait-time-ns-avg:{client-id=producer-1}                        : 1040623,542
producer-metrics:io-waittime-total:{client-id=producer-1}                          : 252175352612,000
producer-metrics:iotime-total:{client-id=producer-1}                               : 4653750176,000
producer-metrics:metadata-age:{client-id=producer-1}                               : 263,546
producer-metrics:network-io-rate:{client-id=producer-1}                            : 616,058
producer-metrics:network-io-total:{client-id=producer-1}                           : 160010,000
producer-metrics:outgoing-byte-rate:{client-id=producer-1}                         : 3125652,776
producer-metrics:outgoing-byte-total:{client-id=producer-1}                        : 811749029,000
producer-metrics:produce-throttle-time-avg:{client-id=producer-1}                  : 0,000
producer-metrics:produce-throttle-time-max:{client-id=producer-1}                  : 0,000
producer-metrics:reauthentication-latency-avg:{client-id=producer-1}               : NaN
producer-metrics:reauthentication-latency-max:{client-id=producer-1}               : NaN
producer-metrics:record-error-rate:{client-id=producer-1}                          : 0,000
producer-metrics:record-error-total:{client-id=producer-1}                         : 0,000
producer-metrics:record-queue-time-avg:{client-id=producer-1}                      : 0,021
producer-metrics:record-queue-time-max:{client-id=producer-1}                      : 1,000
producer-metrics:record-retry-rate:{client-id=producer-1}                          : 0,000
producer-metrics:record-retry-total:{client-id=producer-1}                         : 0,000
producer-metrics:record-send-rate:{client-id=producer-1}                           : 308,017
producer-metrics:record-send-total:{client-id=producer-1}                          : 80000,000
producer-metrics:record-size-avg:{client-id=producer-1}                            : 10092,000
producer-metrics:record-size-max:{client-id=producer-1}                            : 10092,000
producer-metrics:records-per-request-avg:{client-id=producer-1}                    : 1,000
producer-metrics:request-latency-avg:{client-id=producer-1}                        : 3,194
producer-metrics:request-latency-max:{client-id=producer-1}                        : 94,000
producer-metrics:request-rate:{client-id=producer-1}                               : 308,026
producer-metrics:request-size-avg:{client-id=producer-1}                           : 10147,000
producer-metrics:request-size-max:{client-id=producer-1}                           : 10147,000
producer-metrics:request-total:{client-id=producer-1}                              : 80005,000
producer-metrics:requests-in-flight:{client-id=producer-1}                         : 0,000
producer-metrics:response-rate:{client-id=producer-1}                              : 308,039
producer-metrics:response-total:{client-id=producer-1}                             : 80005,000
producer-metrics:select-rate:{client-id=producer-1}                                : 923,900
producer-metrics:select-total:{client-id=producer-1}                               : 239703,000
producer-metrics:successful-authentication-no-reauth-total:{client-id=producer-1}  : 0,000
producer-metrics:successful-authentication-rate:{client-id=producer-1}             : 0,000
producer-metrics:successful-authentication-total:{client-id=producer-1}            : 0,000
producer-metrics:successful-reauthentication-rate:{client-id=producer-1}           : 0,000
producer-metrics:successful-reauthentication-total:{client-id=producer-1}          : 0,000
producer-metrics:waiting-threads:{client-id=producer-1}                            : 0,000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node--1}   : 0,000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-1}    : 6439,810
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-3}    : 6334,649
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-6}    : 6327,004
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node--1}  : 579,000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-1}   : 1659662,000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-3}   : 1646146,000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-6}   : 1655074,000
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node--1}   : 0,000
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node-1}    : 1053927,848
