Topic to send: test-topic
Topic to acks: 1
Records: 80000
Size:10000
1335 records sent, 266,9 records/sec (2,55 MB/sec), 3,7 ms avg latency, 272,0 ms max latency.
1479 records sent, 295,7 records/sec (2,82 MB/sec), 3,3 ms avg latency, 19,0 ms max latency.
1546 records sent, 309,1 records/sec (2,95 MB/sec), 3,2 ms avg latency, 16,0 ms max latency.
1560 records sent, 311,9 records/sec (2,97 MB/sec), 3,2 ms avg latency, 15,0 ms max latency.
1584 records sent, 316,8 records/sec (3,02 MB/sec), 3,1 ms avg latency, 13,0 ms max latency.
1566 records sent, 313,2 records/sec (2,99 MB/sec), 3,2 ms avg latency, 18,0 ms max latency.
1602 records sent, 320,4 records/sec (3,06 MB/sec), 3,1 ms avg latency, 14,0 ms max latency.
1549 records sent, 309,7 records/sec (2,95 MB/sec), 3,2 ms avg latency, 57,0 ms max latency.
1593 records sent, 318,6 records/sec (3,04 MB/sec), 3,1 ms avg latency, 23,0 ms max latency.
1582 records sent, 316,3 records/sec (3,02 MB/sec), 3,1 ms avg latency, 14,0 ms max latency.
1626 records sent, 325,2 records/sec (3,10 MB/sec), 3,1 ms avg latency, 8,0 ms max latency.
1610 records sent, 322,0 records/sec (3,07 MB/sec), 3,1 ms avg latency, 24,0 ms max latency.
1631 records sent, 326,1 records/sec (3,11 MB/sec), 3,0 ms avg latency, 5,0 ms max latency.
1568 records sent, 313,6 records/sec (2,99 MB/sec), 3,2 ms avg latency, 61,0 ms max latency.
1585 records sent, 317,0 records/sec (3,02 MB/sec), 3,1 ms avg latency, 23,0 ms max latency.
1576 records sent, 315,2 records/sec (3,01 MB/sec), 3,2 ms avg latency, 13,0 ms max latency.
1615 records sent, 323,0 records/sec (3,08 MB/sec), 3,1 ms avg latency, 14,0 ms max latency.
1599 records sent, 319,7 records/sec (3,05 MB/sec), 3,1 ms avg latency, 20,0 ms max latency.
1612 records sent, 322,2 records/sec (3,07 MB/sec), 3,1 ms avg latency, 15,0 ms max latency.
1604 records sent, 320,7 records/sec (3,06 MB/sec), 3,1 ms avg latency, 19,0 ms max latency.
1597 records sent, 319,3 records/sec (3,05 MB/sec), 3,1 ms avg latency, 48,0 ms max latency.
1629 records sent, 325,7 records/sec (3,11 MB/sec), 3,1 ms avg latency, 14,0 ms max latency.
1578 records sent, 315,5 records/sec (3,01 MB/sec), 3,2 ms avg latency, 11,0 ms max latency.
1570 records sent, 313,9 records/sec (2,99 MB/sec), 3,2 ms avg latency, 21,0 ms max latency.
1592 records sent, 318,4 records/sec (3,04 MB/sec), 3,1 ms avg latency, 9,0 ms max latency.
1630 records sent, 325,9 records/sec (3,11 MB/sec), 3,1 ms avg latency, 5,0 ms max latency.
1562 records sent, 312,3 records/sec (2,98 MB/sec), 3,2 ms avg latency, 129,0 ms max latency.
1615 records sent, 323,0 records/sec (3,08 MB/sec), 3,1 ms avg latency, 5,0 ms max latency.
1593 records sent, 318,5 records/sec (3,04 MB/sec), 3,1 ms avg latency, 5,0 ms max latency.
1594 records sent, 318,8 records/sec (3,04 MB/sec), 3,1 ms avg latency, 23,0 ms max latency.
1620 records sent, 323,8 records/sec (3,09 MB/sec), 3,1 ms avg latency, 5,0 ms max latency.
1616 records sent, 323,2 records/sec (3,08 MB/sec), 3,1 ms avg latency, 7,0 ms max latency.
1590 records sent, 318,0 records/sec (3,03 MB/sec), 3,1 ms avg latency, 21,0 ms max latency.
1595 records sent, 318,9 records/sec (3,04 MB/sec), 3,1 ms avg latency, 18,0 ms max latency.
1590 records sent, 317,9 records/sec (3,03 MB/sec), 3,1 ms avg latency, 5,0 ms max latency.
1605 records sent, 320,9 records/sec (3,06 MB/sec), 3,1 ms avg latency, 20,0 ms max latency.
1598 records sent, 319,5 records/sec (3,05 MB/sec), 3,1 ms avg latency, 20,0 ms max latency.
1629 records sent, 325,7 records/sec (3,11 MB/sec), 3,1 ms avg latency, 5,0 ms max latency.
1614 records sent, 322,7 records/sec (3,08 MB/sec), 3,1 ms avg latency, 23,0 ms max latency.
1599 records sent, 319,8 records/sec (3,05 MB/sec), 3,1 ms avg latency, 18,0 ms max latency.
1623 records sent, 324,6 records/sec (3,10 MB/sec), 3,1 ms avg latency, 5,0 ms max latency.
1578 records sent, 315,5 records/sec (3,01 MB/sec), 3,2 ms avg latency, 77,0 ms max latency.
1622 records sent, 324,3 records/sec (3,09 MB/sec), 3,1 ms avg latency, 5,0 ms max latency.
1583 records sent, 316,5 records/sec (3,02 MB/sec), 3,1 ms avg latency, 21,0 ms max latency.
1553 records sent, 310,5 records/sec (2,96 MB/sec), 3,2 ms avg latency, 131,0 ms max latency.
1599 records sent, 319,7 records/sec (3,05 MB/sec), 3,1 ms avg latency, 59,0 ms max latency.
1603 records sent, 320,6 records/sec (3,06 MB/sec), 3,1 ms avg latency, 12,0 ms max latency.
1581 records sent, 316,1 records/sec (3,01 MB/sec), 3,2 ms avg latency, 5,0 ms max latency.
1630 records sent, 326,0 records/sec (3,11 MB/sec), 3,1 ms avg latency, 21,0 ms max latency.
1591 records sent, 318,1 records/sec (3,03 MB/sec), 3,1 ms avg latency, 27,0 ms max latency.
80000 records sent, 317,503155 records/sec (3,03 MB/sec), 3,13 ms avg latency, 272,00 ms max latency, 3 ms 50th, 4 ms 95th, 4 ms 99th, 6 ms 99.9th.

Metric Name                                                                          Value
app-info:commit-id:{client-id=producer-1}                                          : d4284cbebb6f0a4c
app-info:start-time-ms:{client-id=producer-1}                                      : 1590040761636
app-info:version:{client-id=producer-1}                                            : 2.3.1
kafka-metrics-count:count:{client-id=producer-1}                                   : 126,000
producer-metrics:batch-size-avg:{client-id=producer-1}                             : 10077,000
producer-metrics:batch-size-max:{client-id=producer-1}                             : 10077,000
producer-metrics:batch-split-rate:{client-id=producer-1}                           : 0,000
producer-metrics:batch-split-total:{client-id=producer-1}                          : 0,000
producer-metrics:buffer-available-bytes:{client-id=producer-1}                     : 33554432,000
producer-metrics:buffer-exhausted-rate:{client-id=producer-1}                      : 0,000
producer-metrics:buffer-exhausted-total:{client-id=producer-1}                     : 0,000
producer-metrics:buffer-total-bytes:{client-id=producer-1}                         : 33554432,000
producer-metrics:bufferpool-wait-ratio:{client-id=producer-1}                      : 0,000
producer-metrics:bufferpool-wait-time-total:{client-id=producer-1}                 : 0,000
producer-metrics:compression-rate-avg:{client-id=producer-1}                       : 1,000
producer-metrics:connection-close-rate:{client-id=producer-1}                      : 0,000
producer-metrics:connection-close-total:{client-id=producer-1}                     : 0,000
producer-metrics:connection-count:{client-id=producer-1}                           : 4,000
producer-metrics:connection-creation-rate:{client-id=producer-1}                   : 0,000
producer-metrics:connection-creation-total:{client-id=producer-1}                  : 4,000
producer-metrics:failed-authentication-rate:{client-id=producer-1}                 : 0,000
producer-metrics:failed-authentication-total:{client-id=producer-1}                : 0,000
producer-metrics:failed-reauthentication-rate:{client-id=producer-1}               : 0,000
producer-metrics:failed-reauthentication-total:{client-id=producer-1}              : 0,000
producer-metrics:incoming-byte-rate:{client-id=producer-1}                         : 19766,654
producer-metrics:incoming-byte-total:{client-id=producer-1}                        : 4961461,000
producer-metrics:io-ratio:{client-id=producer-1}                                   : 0,017
producer-metrics:io-time-ns-avg:{client-id=producer-1}                             : 18053,305
producer-metrics:io-wait-ratio:{client-id=producer-1}                              : 0,958
producer-metrics:io-wait-time-ns-avg:{client-id=producer-1}                        : 1001845,110
producer-metrics:io-waittime-total:{client-id=producer-1}                          : 240171351883,000
producer-metrics:iotime-total:{client-id=producer-1}                               : 4724189817,000
producer-metrics:metadata-age:{client-id=producer-1}                               : 251,792
producer-metrics:network-io-rate:{client-id=producer-1}                            : 637,610
producer-metrics:network-io-total:{client-id=producer-1}                           : 160010,000
producer-metrics:outgoing-byte-rate:{client-id=producer-1}                         : 3235025,509
producer-metrics:outgoing-byte-total:{client-id=producer-1}                        : 811749029,000
producer-metrics:produce-throttle-time-avg:{client-id=producer-1}                  : 0,000
producer-metrics:produce-throttle-time-max:{client-id=producer-1}                  : 0,000
producer-metrics:reauthentication-latency-avg:{client-id=producer-1}               : NaN
producer-metrics:reauthentication-latency-max:{client-id=producer-1}               : NaN
producer-metrics:record-error-rate:{client-id=producer-1}                          : 0,000
producer-metrics:record-error-total:{client-id=producer-1}                         : 0,000
producer-metrics:record-queue-time-avg:{client-id=producer-1}                      : 0,025
producer-metrics:record-queue-time-max:{client-id=producer-1}                      : 1,000
producer-metrics:record-retry-rate:{client-id=producer-1}                          : 0,000
producer-metrics:record-retry-total:{client-id=producer-1}                         : 0,000
producer-metrics:record-send-rate:{client-id=producer-1}                           : 318,819
producer-metrics:record-send-total:{client-id=producer-1}                          : 80000,000
producer-metrics:record-size-avg:{client-id=producer-1}                            : 10092,000
producer-metrics:record-size-max:{client-id=producer-1}                            : 10092,000
producer-metrics:records-per-request-avg:{client-id=producer-1}                    : 1,000
producer-metrics:request-latency-avg:{client-id=producer-1}                        : 3,080
producer-metrics:request-latency-max:{client-id=producer-1}                        : 131,000
producer-metrics:request-rate:{client-id=producer-1}                               : 318,793
producer-metrics:request-size-avg:{client-id=producer-1}                           : 10147,000
producer-metrics:request-size-max:{client-id=producer-1}                           : 10147,000
producer-metrics:request-total:{client-id=producer-1}                              : 80005,000
producer-metrics:requests-in-flight:{client-id=producer-1}                         : 0,000
producer-metrics:response-rate:{client-id=producer-1}                              : 318,817
producer-metrics:response-total:{client-id=producer-1}                             : 80005,000
producer-metrics:select-rate:{client-id=producer-1}                                : 956,400
producer-metrics:select-total:{client-id=producer-1}                               : 239727,000
producer-metrics:successful-authentication-no-reauth-total:{client-id=producer-1}  : 0,000
producer-metrics:successful-authentication-rate:{client-id=producer-1}             : 0,000
producer-metrics:successful-authentication-total:{client-id=producer-1}            : 0,000
producer-metrics:successful-reauthentication-rate:{client-id=producer-1}           : 0,000
producer-metrics:successful-reauthentication-total:{client-id=producer-1}          : 0,000
producer-metrics:waiting-threads:{client-id=producer-1}                            : 0,000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node--3}   : 0,000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-1}    : 6706,681
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-3}    : 6523,969
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-6}    : 6538,149
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node--3}  : 579,000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-1}   : 1659662,000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-3}   : 1646146,000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-6}   : 1655074,000
