Topic to send: test-topic
Topic to acks: 1
Records: 80000
Size:10000
1290 records sent, 257,8 records/sec (2,46 MB/sec), 3,8 ms avg latency, 267,0 ms max latency.
1438 records sent, 287,4 records/sec (2,74 MB/sec), 3,5 ms avg latency, 43,0 ms max latency.
1496 records sent, 299,1 records/sec (2,85 MB/sec), 3,3 ms avg latency, 12,0 ms max latency.
1539 records sent, 307,7 records/sec (2,93 MB/sec), 3,2 ms avg latency, 15,0 ms max latency.
1534 records sent, 306,7 records/sec (2,93 MB/sec), 3,2 ms avg latency, 43,0 ms max latency.
1496 records sent, 299,2 records/sec (2,85 MB/sec), 3,3 ms avg latency, 47,0 ms max latency.
1503 records sent, 300,5 records/sec (2,87 MB/sec), 3,3 ms avg latency, 135,0 ms max latency.
1562 records sent, 312,4 records/sec (2,98 MB/sec), 3,2 ms avg latency, 6,0 ms max latency.
1585 records sent, 316,9 records/sec (3,02 MB/sec), 3,1 ms avg latency, 17,0 ms max latency.
1589 records sent, 317,8 records/sec (3,03 MB/sec), 3,1 ms avg latency, 7,0 ms max latency.
1574 records sent, 314,7 records/sec (3,00 MB/sec), 3,2 ms avg latency, 14,0 ms max latency.
1545 records sent, 309,0 records/sec (2,95 MB/sec), 3,2 ms avg latency, 14,0 ms max latency.
1606 records sent, 321,1 records/sec (3,06 MB/sec), 3,1 ms avg latency, 15,0 ms max latency.
1555 records sent, 310,9 records/sec (2,97 MB/sec), 3,2 ms avg latency, 15,0 ms max latency.
1559 records sent, 311,7 records/sec (2,97 MB/sec), 3,2 ms avg latency, 16,0 ms max latency.
1583 records sent, 316,6 records/sec (3,02 MB/sec), 3,1 ms avg latency, 14,0 ms max latency.
1635 records sent, 326,9 records/sec (3,12 MB/sec), 3,0 ms avg latency, 5,0 ms max latency.
1554 records sent, 310,8 records/sec (2,96 MB/sec), 3,2 ms avg latency, 16,0 ms max latency.
1553 records sent, 310,6 records/sec (2,96 MB/sec), 3,2 ms avg latency, 14,0 ms max latency.
1635 records sent, 326,9 records/sec (3,12 MB/sec), 3,1 ms avg latency, 5,0 ms max latency.
1580 records sent, 315,9 records/sec (3,01 MB/sec), 3,1 ms avg latency, 18,0 ms max latency.
1583 records sent, 316,6 records/sec (3,02 MB/sec), 3,1 ms avg latency, 9,0 ms max latency.
1545 records sent, 308,9 records/sec (2,95 MB/sec), 3,2 ms avg latency, 14,0 ms max latency.
1566 records sent, 313,0 records/sec (2,99 MB/sec), 3,2 ms avg latency, 19,0 ms max latency.
1543 records sent, 308,6 records/sec (2,94 MB/sec), 3,2 ms avg latency, 44,0 ms max latency.
1546 records sent, 309,1 records/sec (2,95 MB/sec), 3,2 ms avg latency, 46,0 ms max latency.
1546 records sent, 309,1 records/sec (2,95 MB/sec), 3,2 ms avg latency, 80,0 ms max latency.
1566 records sent, 313,2 records/sec (2,99 MB/sec), 3,2 ms avg latency, 13,0 ms max latency.
1557 records sent, 311,3 records/sec (2,97 MB/sec), 3,2 ms avg latency, 5,0 ms max latency.
1564 records sent, 312,7 records/sec (2,98 MB/sec), 3,2 ms avg latency, 5,0 ms max latency.
1549 records sent, 309,8 records/sec (2,95 MB/sec), 3,2 ms avg latency, 10,0 ms max latency.
1575 records sent, 315,0 records/sec (3,00 MB/sec), 3,2 ms avg latency, 5,0 ms max latency.
1610 records sent, 321,9 records/sec (3,07 MB/sec), 3,1 ms avg latency, 20,0 ms max latency.
1571 records sent, 314,1 records/sec (3,00 MB/sec), 3,2 ms avg latency, 12,0 ms max latency.
1502 records sent, 300,4 records/sec (2,86 MB/sec), 3,3 ms avg latency, 313,0 ms max latency.
1620 records sent, 323,9 records/sec (3,09 MB/sec), 3,1 ms avg latency, 5,0 ms max latency.
1586 records sent, 317,1 records/sec (3,02 MB/sec), 3,1 ms avg latency, 20,0 ms max latency.
1582 records sent, 316,4 records/sec (3,02 MB/sec), 3,1 ms avg latency, 7,0 ms max latency.
1595 records sent, 319,0 records/sec (3,04 MB/sec), 3,1 ms avg latency, 5,0 ms max latency.
1579 records sent, 315,7 records/sec (3,01 MB/sec), 3,2 ms avg latency, 21,0 ms max latency.
1589 records sent, 317,7 records/sec (3,03 MB/sec), 3,1 ms avg latency, 8,0 ms max latency.
1533 records sent, 306,5 records/sec (2,92 MB/sec), 3,2 ms avg latency, 45,0 ms max latency.
1563 records sent, 312,5 records/sec (2,98 MB/sec), 3,2 ms avg latency, 21,0 ms max latency.
1560 records sent, 311,9 records/sec (2,97 MB/sec), 3,2 ms avg latency, 5,0 ms max latency.
1529 records sent, 305,7 records/sec (2,92 MB/sec), 3,3 ms avg latency, 9,0 ms max latency.
1521 records sent, 304,1 records/sec (2,90 MB/sec), 3,3 ms avg latency, 62,0 ms max latency.
1584 records sent, 316,7 records/sec (3,02 MB/sec), 3,1 ms avg latency, 5,0 ms max latency.
1496 records sent, 299,0 records/sec (2,85 MB/sec), 3,3 ms avg latency, 189,0 ms max latency.
1549 records sent, 309,7 records/sec (2,95 MB/sec), 3,2 ms avg latency, 43,0 ms max latency.
1543 records sent, 308,5 records/sec (2,94 MB/sec), 3,2 ms avg latency, 20,0 ms max latency.
1516 records sent, 303,0 records/sec (2,89 MB/sec), 3,3 ms avg latency, 45,0 ms max latency.
80000 records sent, 310,259105 records/sec (2,96 MB/sec), 3,21 ms avg latency, 313,00 ms max latency, 3 ms 50th, 4 ms 95th, 5 ms 99th, 7 ms 99.9th.

Metric Name                                                                          Value
app-info:commit-id:{client-id=producer-1}                                          : d4284cbebb6f0a4c
app-info:start-time-ms:{client-id=producer-1}                                      : 1590041565095
app-info:version:{client-id=producer-1}                                            : 2.3.1
kafka-metrics-count:count:{client-id=producer-1}                                   : 126,000
producer-metrics:batch-size-avg:{client-id=producer-1}                             : 10077,000
producer-metrics:batch-size-max:{client-id=producer-1}                             : 10077,000
producer-metrics:batch-split-rate:{client-id=producer-1}                           : 0,000
producer-metrics:batch-split-total:{client-id=producer-1}                          : 0,000
producer-metrics:buffer-available-bytes:{client-id=producer-1}                     : 33554432,000
producer-metrics:buffer-exhausted-rate:{client-id=producer-1}                      : 0,000
producer-metrics:buffer-exhausted-total:{client-id=producer-1}                     : 0,000
producer-metrics:buffer-total-bytes:{client-id=producer-1}                         : 33554432,000
producer-metrics:bufferpool-wait-ratio:{client-id=producer-1}                      : 0,000
producer-metrics:bufferpool-wait-time-total:{client-id=producer-1}                 : 0,000
producer-metrics:compression-rate-avg:{client-id=producer-1}                       : 1,000
producer-metrics:connection-close-rate:{client-id=producer-1}                      : 0,000
producer-metrics:connection-close-total:{client-id=producer-1}                     : 0,000
producer-metrics:connection-count:{client-id=producer-1}                           : 4,000
producer-metrics:connection-creation-rate:{client-id=producer-1}                   : 0,000
producer-metrics:connection-creation-total:{client-id=producer-1}                  : 4,000
producer-metrics:failed-authentication-rate:{client-id=producer-1}                 : 0,000
producer-metrics:failed-authentication-total:{client-id=producer-1}                : 0,000
producer-metrics:failed-reauthentication-rate:{client-id=producer-1}               : 0,000
producer-metrics:failed-reauthentication-total:{client-id=producer-1}              : 0,000
producer-metrics:incoming-byte-rate:{client-id=producer-1}                         : 19046,219
producer-metrics:incoming-byte-total:{client-id=producer-1}                        : 4961461,000
producer-metrics:io-ratio:{client-id=producer-1}                                   : 0,017
producer-metrics:io-time-ns-avg:{client-id=producer-1}                             : 18608,030
producer-metrics:io-wait-ratio:{client-id=producer-1}                              : 0,960
producer-metrics:io-wait-time-ns-avg:{client-id=producer-1}                        : 1042444,861
producer-metrics:io-waittime-total:{client-id=producer-1}                          : 246236939040,000
producer-metrics:iotime-total:{client-id=producer-1}                               : 4699014926,000
producer-metrics:metadata-age:{client-id=producer-1}                               : 257,688
producer-metrics:network-io-rate:{client-id=producer-1}                            : 614,351
producer-metrics:network-io-total:{client-id=producer-1}                           : 160010,000
producer-metrics:outgoing-byte-rate:{client-id=producer-1}                         : 3117324,896
producer-metrics:outgoing-byte-total:{client-id=producer-1}                        : 811749029,000
producer-metrics:produce-throttle-time-avg:{client-id=producer-1}                  : 0,000
producer-metrics:produce-throttle-time-max:{client-id=producer-1}                  : 0,000
producer-metrics:reauthentication-latency-avg:{client-id=producer-1}               : NaN
producer-metrics:reauthentication-latency-max:{client-id=producer-1}               : NaN
producer-metrics:record-error-rate:{client-id=producer-1}                          : 0,000
producer-metrics:record-error-total:{client-id=producer-1}                         : 0,000
producer-metrics:record-queue-time-avg:{client-id=producer-1}                      : 0,024
producer-metrics:record-queue-time-max:{client-id=producer-1}                      : 3,000
producer-metrics:record-retry-rate:{client-id=producer-1}                          : 0,000
producer-metrics:record-retry-total:{client-id=producer-1}                         : 0,000
producer-metrics:record-send-rate:{client-id=producer-1}                           : 307,171
producer-metrics:record-send-total:{client-id=producer-1}                          : 80000,000
producer-metrics:record-size-avg:{client-id=producer-1}                            : 10092,000
producer-metrics:record-size-max:{client-id=producer-1}                            : 10092,000
producer-metrics:records-per-request-avg:{client-id=producer-1}                    : 1,000
producer-metrics:request-latency-avg:{client-id=producer-1}                        : 3,198
producer-metrics:request-latency-max:{client-id=producer-1}                        : 189,000
producer-metrics:request-rate:{client-id=producer-1}                               : 307,171
producer-metrics:request-size-avg:{client-id=producer-1}                           : 10147,000
producer-metrics:request-size-max:{client-id=producer-1}                           : 10147,000
producer-metrics:request-total:{client-id=producer-1}                              : 80005,000
producer-metrics:requests-in-flight:{client-id=producer-1}                         : 0,000
producer-metrics:response-rate:{client-id=producer-1}                              : 307,197
producer-metrics:response-total:{client-id=producer-1}                             : 80005,000
producer-metrics:select-rate:{client-id=producer-1}                                : 921,286
producer-metrics:select-total:{client-id=producer-1}                               : 239596,000
producer-metrics:successful-authentication-no-reauth-total:{client-id=producer-1}  : 0,000
producer-metrics:successful-authentication-rate:{client-id=producer-1}             : 0,000
producer-metrics:successful-authentication-total:{client-id=producer-1}            : 0,000
producer-metrics:successful-reauthentication-rate:{client-id=producer-1}           : 0,000
producer-metrics:successful-reauthentication-total:{client-id=producer-1}          : 0,000
producer-metrics:waiting-threads:{client-id=producer-1}                            : 0,000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node--1}   : 0,000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-1}    : 6429,881
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-3}    : 6310,542
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-6}    : 6307,780
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node--1}  : 579,000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-1}   : 1659662,000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-3}   : 1646146,000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-6}   : 1655074,000
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node--1}   : 0,000
