Topic to send: test-topic
Topic to acks: 1
Records: 80000
Size:10000
1220 records sent, 243,9 records/sec (2,33 MB/sec), 4,1 ms avg latency, 257,0 ms max latency.
1395 records sent, 278,9 records/sec (2,66 MB/sec), 3,5 ms avg latency, 16,0 ms max latency.
1451 records sent, 290,2 records/sec (2,77 MB/sec), 3,4 ms avg latency, 10,0 ms max latency.
1471 records sent, 294,1 records/sec (2,80 MB/sec), 3,4 ms avg latency, 15,0 ms max latency.
1466 records sent, 293,1 records/sec (2,80 MB/sec), 3,4 ms avg latency, 6,0 ms max latency.
1472 records sent, 294,3 records/sec (2,81 MB/sec), 3,4 ms avg latency, 14,0 ms max latency.
1470 records sent, 293,9 records/sec (2,80 MB/sec), 3,4 ms avg latency, 34,0 ms max latency.
1489 records sent, 297,8 records/sec (2,84 MB/sec), 3,3 ms avg latency, 29,0 ms max latency.
1500 records sent, 300,0 records/sec (2,86 MB/sec), 3,3 ms avg latency, 44,0 ms max latency.
1492 records sent, 298,3 records/sec (2,84 MB/sec), 3,3 ms avg latency, 26,0 ms max latency.
1507 records sent, 301,3 records/sec (2,87 MB/sec), 3,3 ms avg latency, 15,0 ms max latency.
1502 records sent, 300,2 records/sec (2,86 MB/sec), 3,3 ms avg latency, 5,0 ms max latency.
1474 records sent, 294,6 records/sec (2,81 MB/sec), 3,4 ms avg latency, 48,0 ms max latency.
1513 records sent, 302,5 records/sec (2,89 MB/sec), 3,3 ms avg latency, 8,0 ms max latency.
1473 records sent, 294,4 records/sec (2,81 MB/sec), 3,4 ms avg latency, 61,0 ms max latency.
1530 records sent, 305,9 records/sec (2,92 MB/sec), 3,3 ms avg latency, 15,0 ms max latency.
1455 records sent, 290,8 records/sec (2,77 MB/sec), 3,4 ms avg latency, 179,0 ms max latency.
1517 records sent, 303,4 records/sec (2,89 MB/sec), 3,3 ms avg latency, 14,0 ms max latency.
1507 records sent, 301,3 records/sec (2,87 MB/sec), 3,3 ms avg latency, 7,0 ms max latency.
1503 records sent, 300,5 records/sec (2,87 MB/sec), 3,3 ms avg latency, 32,0 ms max latency.
1519 records sent, 303,8 records/sec (2,90 MB/sec), 3,3 ms avg latency, 60,0 ms max latency.
1525 records sent, 304,9 records/sec (2,91 MB/sec), 3,3 ms avg latency, 14,0 ms max latency.
1541 records sent, 308,0 records/sec (2,94 MB/sec), 3,2 ms avg latency, 15,0 ms max latency.
1514 records sent, 302,7 records/sec (2,89 MB/sec), 3,3 ms avg latency, 38,0 ms max latency.
1511 records sent, 302,1 records/sec (2,88 MB/sec), 3,3 ms avg latency, 10,0 ms max latency.
1514 records sent, 302,8 records/sec (2,89 MB/sec), 3,3 ms avg latency, 25,0 ms max latency.
1525 records sent, 304,9 records/sec (2,91 MB/sec), 3,3 ms avg latency, 7,0 ms max latency.
1523 records sent, 304,4 records/sec (2,90 MB/sec), 3,3 ms avg latency, 36,0 ms max latency.
1532 records sent, 306,3 records/sec (2,92 MB/sec), 3,3 ms avg latency, 5,0 ms max latency.
1523 records sent, 304,5 records/sec (2,90 MB/sec), 3,3 ms avg latency, 5,0 ms max latency.
1527 records sent, 305,3 records/sec (2,91 MB/sec), 3,3 ms avg latency, 30,0 ms max latency.
1518 records sent, 303,5 records/sec (2,89 MB/sec), 3,3 ms avg latency, 5,0 ms max latency.
1499 records sent, 299,8 records/sec (2,86 MB/sec), 3,3 ms avg latency, 29,0 ms max latency.
1525 records sent, 304,9 records/sec (2,91 MB/sec), 3,3 ms avg latency, 5,0 ms max latency.
1529 records sent, 305,7 records/sec (2,92 MB/sec), 3,3 ms avg latency, 31,0 ms max latency.
1510 records sent, 301,8 records/sec (2,88 MB/sec), 3,3 ms avg latency, 29,0 ms max latency.
1535 records sent, 306,8 records/sec (2,93 MB/sec), 3,2 ms avg latency, 5,0 ms max latency.
1502 records sent, 300,3 records/sec (2,86 MB/sec), 3,3 ms avg latency, 50,0 ms max latency.
1481 records sent, 296,1 records/sec (2,82 MB/sec), 3,4 ms avg latency, 80,0 ms max latency.
1487 records sent, 297,3 records/sec (2,84 MB/sec), 3,4 ms avg latency, 44,0 ms max latency.
1513 records sent, 302,5 records/sec (2,89 MB/sec), 3,3 ms avg latency, 36,0 ms max latency.
1515 records sent, 302,9 records/sec (2,89 MB/sec), 3,3 ms avg latency, 6,0 ms max latency.
1519 records sent, 303,8 records/sec (2,90 MB/sec), 3,3 ms avg latency, 5,0 ms max latency.
1324 records sent, 264,8 records/sec (2,53 MB/sec), 3,8 ms avg latency, 621,0 ms max latency.
1515 records sent, 302,9 records/sec (2,89 MB/sec), 3,3 ms avg latency, 29,0 ms max latency.
1514 records sent, 302,8 records/sec (2,89 MB/sec), 3,3 ms avg latency, 30,0 ms max latency.
1504 records sent, 300,7 records/sec (2,87 MB/sec), 3,3 ms avg latency, 28,0 ms max latency.
1556 records sent, 311,0 records/sec (2,97 MB/sec), 3,2 ms avg latency, 6,0 ms max latency.
1532 records sent, 306,3 records/sec (2,92 MB/sec), 3,3 ms avg latency, 9,0 ms max latency.
1515 records sent, 302,8 records/sec (2,89 MB/sec), 3,3 ms avg latency, 36,0 ms max latency.
1535 records sent, 306,8 records/sec (2,93 MB/sec), 3,2 ms avg latency, 34,0 ms max latency.
1520 records sent, 303,9 records/sec (2,90 MB/sec), 3,3 ms avg latency, 6,0 ms max latency.
1512 records sent, 302,4 records/sec (2,88 MB/sec), 3,3 ms avg latency, 81,0 ms max latency.
80000 records sent, 299,235453 records/sec (2,85 MB/sec), 3,33 ms avg latency, 621,00 ms max latency, 3 ms 50th, 4 ms 95th, 4 ms 99th, 7 ms 99.9th.

Metric Name                                                                          Value
app-info:commit-id:{client-id=producer-1}                                          : d4284cbebb6f0a4c
app-info:start-time-ms:{client-id=producer-1}                                      : 1591590222569
app-info:version:{client-id=producer-1}                                            : 2.3.1
kafka-metrics-count:count:{client-id=producer-1}                                   : 126,000
producer-metrics:batch-size-avg:{client-id=producer-1}                             : 10077,000
producer-metrics:batch-size-max:{client-id=producer-1}                             : 10077,000
producer-metrics:batch-split-rate:{client-id=producer-1}                           : 0,000
producer-metrics:batch-split-total:{client-id=producer-1}                          : 0,000
producer-metrics:buffer-available-bytes:{client-id=producer-1}                     : 33554432,000
producer-metrics:buffer-exhausted-rate:{client-id=producer-1}                      : 0,000
producer-metrics:buffer-exhausted-total:{client-id=producer-1}                     : 0,000
producer-metrics:buffer-total-bytes:{client-id=producer-1}                         : 33554432,000
producer-metrics:bufferpool-wait-ratio:{client-id=producer-1}                      : 0,000
producer-metrics:bufferpool-wait-time-total:{client-id=producer-1}                 : 0,000
producer-metrics:compression-rate-avg:{client-id=producer-1}                       : 1,000
producer-metrics:connection-close-rate:{client-id=producer-1}                      : 0,000
producer-metrics:connection-close-total:{client-id=producer-1}                     : 0,000
producer-metrics:connection-count:{client-id=producer-1}                           : 4,000
producer-metrics:connection-creation-rate:{client-id=producer-1}                   : 0,000
producer-metrics:connection-creation-total:{client-id=producer-1}                  : 4,000
producer-metrics:failed-authentication-rate:{client-id=producer-1}                 : 0,000
producer-metrics:failed-authentication-total:{client-id=producer-1}                : 0,000
producer-metrics:failed-reauthentication-rate:{client-id=producer-1}               : 0,000
producer-metrics:failed-reauthentication-total:{client-id=producer-1}              : 0,000
producer-metrics:incoming-byte-rate:{client-id=producer-1}                         : 18645,858
producer-metrics:incoming-byte-total:{client-id=producer-1}                        : 4961461,000
producer-metrics:io-ratio:{client-id=producer-1}                                   : 0,016
producer-metrics:io-time-ns-avg:{client-id=producer-1}                             : 17422,699
producer-metrics:io-wait-ratio:{client-id=producer-1}                              : 0,961
producer-metrics:io-wait-time-ns-avg:{client-id=producer-1}                        : 1065754,395
producer-metrics:io-waittime-total:{client-id=producer-1}                          : 255777394065,000
producer-metrics:iotime-total:{client-id=producer-1}                               : 4555526178,000
producer-metrics:metadata-age:{client-id=producer-1}                               : 267,191
producer-metrics:network-io-rate:{client-id=producer-1}                            : 601,465
producer-metrics:network-io-total:{client-id=producer-1}                           : 160010,000
producer-metrics:outgoing-byte-rate:{client-id=producer-1}                         : 3051658,617
producer-metrics:outgoing-byte-total:{client-id=producer-1}                        : 811749029,000
producer-metrics:produce-throttle-time-avg:{client-id=producer-1}                  : 0,000
producer-metrics:produce-throttle-time-max:{client-id=producer-1}                  : 0,000
producer-metrics:reauthentication-latency-avg:{client-id=producer-1}               : NaN
producer-metrics:reauthentication-latency-max:{client-id=producer-1}               : NaN
producer-metrics:record-error-rate:{client-id=producer-1}                          : 0,000
producer-metrics:record-error-total:{client-id=producer-1}                         : 0,000
producer-metrics:record-queue-time-avg:{client-id=producer-1}                      : 0,022
producer-metrics:record-queue-time-max:{client-id=producer-1}                      : 1,000
producer-metrics:record-retry-rate:{client-id=producer-1}                          : 0,000
producer-metrics:record-retry-total:{client-id=producer-1}                         : 0,000
producer-metrics:record-send-rate:{client-id=producer-1}                           : 300,723
producer-metrics:record-send-total:{client-id=producer-1}                          : 80000,000
producer-metrics:record-size-avg:{client-id=producer-1}                            : 10092,000
producer-metrics:record-size-max:{client-id=producer-1}                            : 10092,000
producer-metrics:records-per-request-avg:{client-id=producer-1}                    : 1,000
producer-metrics:request-latency-avg:{client-id=producer-1}                        : 3,274
producer-metrics:request-latency-max:{client-id=producer-1}                        : 621,000
producer-metrics:request-rate:{client-id=producer-1}                               : 300,729
producer-metrics:request-size-avg:{client-id=producer-1}                           : 10147,000
producer-metrics:request-size-max:{client-id=producer-1}                           : 10147,000
producer-metrics:request-total:{client-id=producer-1}                              : 80005,000
producer-metrics:requests-in-flight:{client-id=producer-1}                         : 0,000
producer-metrics:response-rate:{client-id=producer-1}                              : 300,740
producer-metrics:response-total:{client-id=producer-1}                             : 80005,000
producer-metrics:select-rate:{client-id=producer-1}                                : 901,943
producer-metrics:select-total:{client-id=producer-1}                               : 239687,000
producer-metrics:successful-authentication-no-reauth-total:{client-id=producer-1}  : 0,000
producer-metrics:successful-authentication-rate:{client-id=producer-1}             : 0,000
producer-metrics:successful-authentication-total:{client-id=producer-1}            : 0,000
producer-metrics:successful-reauthentication-rate:{client-id=producer-1}           : 0,000
producer-metrics:successful-reauthentication-total:{client-id=producer-1}          : 0,000
producer-metrics:waiting-threads:{client-id=producer-1}                            : 0,000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node--1}   : 0,000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-1}    : 6270,480
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-3}    : 6179,052
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-6}    : 6196,087
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node--1}  : 579,000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-1}   : 1659662,000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-3}   : 1646146,000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-6}   : 1655074,000
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node--1}   : 0,000
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node-1}    : 1026129,084
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node-3}    : 1011376,727
